;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-439.59027977946715;0.0;19053522.173955597;0.0;0.0;731580380.4376842;0.0;0.0;18067354.011808775;0.0;0.0;583725712.2608877;0.0;0.0;20038313.044152457;0.0;0.0;384198258.688085;0.0;0.0;19217194.88833842;0.0;0.0;62762388.6134929;-50900.03346222314;0.0;20161411.902927067;0.0;0.0;3952351.351501805;0.0;0.0;158342291.63346523;0.0;0.0;46908158.18024844;-278831820.6208084;0.0;223939858.90454468;0.0;0.0;47955227.327740885;-406365426.51683515;0.0;228985136.93935555;0.0;0.0;56303922.5083644;-413857006.31706953;0.0;67132244.97417778;0.0;0.0;43378228.53646745;-96259009.83358726;0.0;20161411.902927067;0.0;0.0;99638251.36183967;-3259.6466911735247;0.0;19463392.605887637;0.0;0.0;405644598.95463413;0.0;0.0;19792115.32660324;0.0;0.0;685736071.6383468;0.0;0.0;834354248.3081436;0.0;0.0;3151783549.8592935;-1195367422.9684536
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-132.32738631327837;0.0;3567934.5896801776;0.0;0.0;244129924.7294324;0.0;0.0;3383266.187437229;0.0;0.0;192096211.3819223;0.0;0.0;3752345.0822545895;0.0;0.0;120892861.4826356;0.0;0.0;3598583.7018864006;0.0;0.0;17691346.757899493;-11903.311838466469;0.0;3775396.3938263906;0.0;0.0;740111.5116064079;0.0;0.0;43880135.97120998;0.0;0.0;8783952.834624479;-80822314.38918987;0.0;61401276.53802074;0.0;0.0;8980025.465974068;-114749278.83140661;0.0;61590422.29988657;0.0;0.0;10543389.868717395;-114858856.78716107;0.0;18212106.478372693;0.0;0.0;8123874.127593954;-29925966.390140843;0.0;3775396.3938263906;0.0;0.0;30057286.90949762;-610.3966538780937;0.0;3644686.3250300037;0.0;0.0;135201108.43396604;0.0;0.0;3706242.4591109864;0.0;0.0;227839718.5053296;0.0;0.0;214287792.42054215;0.0;0.0;1005079812.0091995;-340368930.1063907
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-146.31543123147722;0.0;6692696.302673566;0.0;0.0;204364730.27261454;0.0;0.0;6346297.146005506;0.0;0.0;164089928.45590416;0.0;0.0;7038611.674944337;0.0;0.0;111233395.01893091;0.0;0.0;6750187.6032529315;0.0;0.0;19256061.135907043;-15124.07725567926;0.0;7081851.096478183;0.0;0.0;1388293.830167542;0.0;0.0;46406891.9879269;0.0;0.0;16476851.573789615;-80139035.41945173;0.0;65410581.766961776;0.0;0.0;16844642.670264427;-117446458.71683736;0.0;69040073.59904501;0.0;0.0;19777186.10540336;-124338378.7094491;0.0;20515091.704330258;0.0;0.0;15236936.61948664;-27239779.74563957;0.0;7081851.096478183;0.0;0.0;28787050.098587576;-1144.975987057101;0.0;6836666.446320624;0.0;0.0;112429461.79417272;0.0;0.0;6952132.831876644;0.0;0.0;191630293.71655583;0.0;0.0;256152933.25629392;0.0;0.0;901514831.2917845;-349179921.6446205
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-245.82797520987467;0.0;11394571.592354191;0.0;0.0;334003889.0347467;0.0;0.0;10804813.771039547;0.0;0.0;270211130.9197502;0.0;0.0;11983505.752217472;0.0;0.0;185463816.30988678;0.0;0.0;11492452.731847618;0.0;0.0;32503644.457367904;-25749.32034332562;0.0;12057122.522200383;0.0;0.0;2363623.3774343478;0.0;0.0;77374889.46489841;0.0;0.0;28052470.392110795;-133280220.19668002;0.0;108673107.74817464;0.0;0.0;28678648.809640143;-194749229.35515866;0.0;113140402.93146606;0.0;0.0;33671416.23971618;-203281602.19048715;0.0;33318755.174126808;0.0;0.0;25941467.729463164;-43285416.08779638;0.0;12057122.522200383;0.0;0.0;49831725.618998095;-1949.3654374899377;0.0;11639686.271813437;0.0;0.0;186109525.17117834;0.0;0.0;11836272.212251652;0.0;0.0;314200978.65593183;0.0;0.0;425772702.6945906;0.0;0.0;1491032336.7162247;-574624166.515903
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-17.42433747233186;0.0;572094.2887627969;0.0;0.0;21638267.32446399;0.0;0.0;542483.9538245625;0.0;0.0;17095009.36987038;0.0;0.0;601663.2696221719;0.0;0.0;11047615.249199962;0.0;0.0;577008.6675464063;0.0;0.0;1796471.7306887822;-1863.1505331358153;0.0;605359.3922295938;0.0;0.0;118671.89775908431;0.0;0.0;5186684.115688311;0.0;0.0;1408447.6951974889;-9232061.988405064;0.0;7341391.613136124;0.0;0.0;1439886.6214889735;-13447773.071435396;0.0;7447810.210719232;0.0;0.0;1690561.5774288722;-13620524.98581435;0.0;2287666.967848661;0.0;0.0;1302459.2815853325;-3397651.7077180333;0.0;605359.3922295938;0.0;0.0;2748251.3532409766;-97.87299368480888;0.0;584400.91276125;0.0;0.0;11827347.371843088;0.0;0.0;594271.0244073281;0.0;0.0;20211208.46510056;0.0;0.0;26946193.80877603;0.0;0.0;92324197.93786749;-39699972.77689966
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-14.686491334954376;0.0;474135.7647965625;0.0;0.0;26890055.68425696;0.0;0.0;449595.54637875;0.0;0.0;21032919.34292133;0.0;0.0;498641.7101090625;0.0;0.0;12994675.146996895;0.0;0.0;478208.664646875;0.0;0.0;1916451.0249483008;-1588.5496475784691;0.0;501704.953273125;0.0;0.0;98351.9537059953;0.0;0.0;5423171.5552920895;0.0;0.0;1167282.1041136107;-9750477.18369237;0.0;7379150.919245189;0.0;0.0;1193337.8079624153;-13520301.696321389;0.0;7528770.825994311;0.0;0.0;1401090.2087195357;-13809345.630327126;0.0;2394731.971653843;0.0;0.0;1079441.8677493385;-3815976.1410261523;0.0;501704.953273125;0.0;0.0;3046554.5157166324;-81.11440303665849;0.0;484335.150975;0.0;0.0;14561618.92778392;0.0;0.0;492515.2237809375;0.0;0.0;25033310.67555951;0.0;0.0;26606667.239418868;0.0;0.0;110415089.26043443;-40897770.315417655
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-48.74405000066918;0.0;1656497.7869430159;0.0;0.0;89804713.48076521;0.0;0.0;1570761.1255931878;0.0;0.0;70223121.83726601;0.0;0.0;1742114.7076461408;0.0;0.0;44029637.314846665;0.0;0.0;1670727.3601779689;0.0;0.0;6608157.186319792;-5008.164156891347;0.0;1752816.8227340316;0.0;0.0;343614.2256119557;0.0;0.0;17303488.254950665;0.0;0.0;4078157.2827184494;-30939290.98771288;0.0;24217232.844094995;0.0;0.0;4169188.6264123935;-44309414.94802012;0.0;24918278.4029446;0.0;0.0;4895017.424064749;-45612568.0170004;0.0;7781157.258909302;0.0;0.0;3771268.058269412;-12211255.215102559;0.0;1752816.8227340316;0.0;0.0;10167574.767876426;-283.3910434431813;0.0;1692131.5903537502;0.0;0.0;48496447.862235256;0.0;0.0;1720710.4774703598;0.0;0.0;83468561.47720297;0.0;0.0;87778733.45455204;0.0;0.0;370055459.5435893;-133077820.72303627
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-9.788231357794766;0.0;217670.98901773832;0.0;0.0;13526555.49601355;0.0;0.0;206404.82010510942;0.0;0.0;10579754.80708813;0.0;0.0;228921.4234903946;0.0;0.0;6533572.36731343;0.0;0.0;219540.8166165235;0.0;0.0;961013.9928940749;-827.9132280786819;0.0;230327.72779947662;0.0;0.0;45152.39858397204;0.0;0.0;2780931.324402207;0.0;0.0;535887.5430418877;-5172204.973809545;0.0;4003078.364009764;0.0;0.0;547849.4561634512;-7570699.10690089;0.0;3995480.0654445426;0.0;0.0;643226.5061588575;-7527664.025800585;0.0;1190913.0316049736;0.0;0.0;495560.96878911654;-1958618.780409195;0.0;230327.72779947662;0.0;0.0;1551975.778690133;-37.238811419654574;0.0;222353.42523468751;0.0;0.0;7367236.268947334;0.0;0.0;226108.81487223052;0.0;0.0;12594874.45558284;0.0;0.0;13752058.530397125;0.0;0.0;55382660.03926678;-22230052.03895971
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-20.17877348739909;0.0;130692.960546875;0.0;0.0;26684448.840192728;0.0;0.0;118045.2546875;0.0;0.0;20678216.56077102;0.0;0.0;130692.960546875;0.0;0.0;12421615.62928975;0.0;0.0;126477.05859375;0.0;0.0;1845939.9573591533;0.0;0.0;130692.960546875;0.0;0.0;385257.27464043966;0.0;0.0;3399209.9547557947;0.0;0.0;372829.6206197803;-8692594.967053963;0.0;5251954.981097589;0.0;0.0;385257.27464043966;-13026324.409665719;0.0;5003968.918541141;0.0;0.0;385257.27464043966;-12626154.44126493;0.0;1333700.4429596101;0.0;0.0;372829.6206197803;-3123190.627422387;0.0;130692.960546875;0.0;0.0;3054184.981156212;0.0;0.0;126477.05859375;0.0;0.0;14689468.913336232;0.0;0.0;130692.960546875;0.0;0.0;24702836.02980089;0.0;0.0;16013298.471963512;0.0;0.0;105978141.97706687;-37468264.445406996
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-9.525245808056182;0.0;352376.73864561337;0.0;0.0;16892364.44441996;0.0;0.0;334138.4980956094;0.0;0.0;13401002.800807713;0.0;0.0;370589.50749326963;0.0;0.0;8697724.10440249;0.0;0.0;355403.7095527735;0.0;0.0;1340468.936424508;-822.1272277469243;0.0;372866.1035992267;0.0;0.0;73094.97249424589;0.0;0.0;3312640.3160269903;0.0;0.0;867521.6920272401;-5880378.889767519;0.0;4720743.534699012;0.0;0.0;886886.2382755011;-8602000.690260353;0.0;4845945.835655782;0.0;0.0;1041287.4011069984;-8819394.36524741;0.0;1390842.693899715;0.0;0.0;802239.0065390804;-2071302.1300352912;0.0;372866.1035992267;0.0;0.0;2121811.3321292126;-60.28405980195902;0.0;359956.90176468756;0.0;0.0;9260860.303694846;0.0;0.0;366036.3152813556;0.0;0.0;15759959.006257316;0.0;0.0;17154406.25831326;0.0;0.0;71145220.23857911;-25373958.486598123
