;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-424.3593595579438;0.0;19053522.173955597;0.0;0.0;676919197.2271394;0.0;0.0;18067354.011808775;0.0;0.0;526336011.22220856;0.0;0.0;20038313.044152457;0.0;0.0;336395594.2792672;0.0;0.0;19217194.88833842;0.0;0.0;52145101.78315517;-199521.09149726745;0.0;20161411.902927067;0.0;0.0;3711340.562073481;0.0;0.0;189619143.9197089;0.0;0.0;40617957.71155292;-338157993.8474448;0.0;251471313.87191114;0.0;0.0;45474338.491982624;-456439743.1229287;0.0;258341231.46180135;0.0;0.0;55068353.18925919;-468545050.9836731;0.0;99622182.87791461;0.0;0.0;30893130.20686306;-158680423.2509446;0.0;20161411.902927067;0.0;0.0;76133334.72402641;-6018.713901517081;0.0;19463392.605887637;0.0;0.0;353917140.4494333;0.0;0.0;19792115.32660324;0.0;0.0;632793732.9133155;0.0;0.0;955008587.9879363;0.0;0.0;2830405232.760277;-1422028751.0103898
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-126.790487757731;0.0;3567934.5896801776;0.0;0.0;223978255.16162395;0.0;0.0;3383266.187437229;0.0;0.0;170895782.78729412;0.0;0.0;3752345.0822545895;0.0;0.0;103064586.48558351;0.0;0.0;3598583.7018864006;0.0;0.0;14188316.78991579;-51102.715043701086;0.0;3775396.3938263906;0.0;0.0;694980.1850077561;0.0;0.0;51779380.11161283;0.0;0.0;7606059.1295457;-95233125.63823119;0.0;66496682.265130565;0.0;0.0;8515457.864800954;-123450773.86302745;0.0;67545756.62720048;0.0;0.0;10312018.971970074;-125391260.57146116;0.0;27742540.33668455;0.0;0.0;5785236.817025511;-47951197.866246454;0.0;3775396.3938263906;0.0;0.0;20348589.741139095;-1127.055529080351;0.0;3644686.3250300037;0.0;0.0;115973619.96091437;0.0;0.0;3706242.4591109864;0.0;0.0;208313572.259375;0.0;0.0;242768210.4736806;0.0;0.0;889676476.1541958;-392078587.70953906
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-141.50723326601943;0.0;6692696.302673566;0.0;0.0;189954152.91906178;0.0;0.0;6346297.146005506;0.0;0.0;148970078.53718626;0.0;0.0;7038611.674944337;0.0;0.0;98740379.12654625;0.0;0.0;6750187.6032529315;0.0;0.0;16067963.899738677;-43720.25560871153;0.0;7081851.096478183;0.0;0.0;1303636.935521773;0.0;0.0;56442603.59245656;0.0;0.0;14267370.24873263;-99811101.58460352;0.0;77337418.12129033;0.0;0.0;15973211.373371752;-140675644.54381537;0.0;80402012.63377388;0.0;0.0;19343182.872920934;-145825002.92345184;0.0;29645756.895073473;0.0;0.0;10851449.743822433;-45023758.34491028;0.0;7081851.096478183;0.0;0.0;22619471.309344213;-2114.1195789298395;0.0;6836666.446320624;0.0;0.0;98928762.17408799;0.0;0.0;6952132.831876644;0.0;0.0;177670391.38953567;0.0;0.0;298608085.4406242;0.0;0.0;814690050.5298704;-431381341.77196866
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-237.7125641453974;0.0;11394571.592354191;0.0;0.0;311074722.11949015;0.0;0.0;10804813.771039547;0.0;0.0;246178660.28339902;0.0;0.0;11983505.752217472;0.0;0.0;165448602.5598466;0.0;0.0;11492452.731847618;0.0;0.0;27256267.045537665;-70356.47625548596;0.0;12057122.522200383;0.0;0.0;2219491.774384878;0.0;0.0;93497672.38617271;0.0;0.0;24290743.87685353;-164898913.59050602;0.0;128248583.90226534;0.0;0.0;27195003.676019635;-232969428.08746248;0.0;131880448.68885349;0.0;0.0;32932509.126620576;-239305978.44432738;0.0;47464173.580359735;0.0;0.0;18475008.486105084;-70773692.63413776;0.0;12057122.522200383;0.0;0.0;39445003.67918546;-3599.3694928739856;0.0;11639686.271813437;0.0;0.0;164330407.30460688;0.0;0.0;11836272.212251652;0.0;0.0;291995081.3809832;0.0;0.0;494356425.93357605;0.0;0.0;1350841501.3130326;-708021968.602182
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-16.951454368381327;0.0;572094.2887627969;0.0;0.0;19993081.684436314;0.0;0.0;542483.9538245625;0.0;0.0;15368986.284324935;0.0;0.0;601663.2696221719;0.0;0.0;9645979.127072679;0.0;0.0;577008.6675464063;0.0;0.0;1480549.5941191358;-7449.151621279122;0.0;605359.3922295938;0.0;0.0;111435.39340554133;0.0;0.0;6264385.914050069;0.0;0.0;1219580.3702767082;-11336141.442700198;0.0;8522043.354536487;0.0;0.0;1365396.3345470277;-15718453.230517495;0.0;8615412.973170005;0.0;0.0;1653462.8119419932;-15821609.263330517;0.0;3362393.748006939;0.0;0.0;927586.1539925794;-5480450.327697891;0.0;605359.3922295938;0.0;0.0;2114738.576981993;-180.71576568986322;0.0;584400.91276125;0.0;0.0;10301735.745275464;0.0;0.0;594271.0244073281;0.0;0.0;18618120.949108828;0.0;0.0;31446876.891147204;0.0;0.0;82800653.02548319;-48364284.13163307
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-14.262195010000108;0.0;474135.7647965625;0.0;0.0;24686382.700726885;0.0;0.0;449595.54637875;0.0;0.0;18707901.92763306;0.0;0.0;498641.7101090625;0.0;0.0;11068920.952718727;0.0;0.0;478208.664646875;0.0;0.0;1547818.057738872;-6965.974320896191;0.0;501704.953273125;0.0;0.0;92354.54105302026;0.0;0.0;6328050.121018637;0.0;0.0;1010754.1413191346;-11506427.489351489;0.0;7957173.776273529;0.0;0.0;1131602.3390670444;-14617413.730562465;0.0;8181881.436715481;0.0;0.0;1370343.7882559279;-15049293.63707183;0.0;3534080.730486585;0.0;0.0;768757.4918621943;-6017920.61250858;0.0;501704.953273125;0.0;0.0;2158267.116687091;-149.7721782216325;0.0;484335.150975;0.0;0.0;12476156.15408739;0.0;0.0;492515.2237809375;0.0;0.0;22896212.464830644;0.0;0.0;29882028.031727668;0.0;0.0;97915471.67597997;-47198171.21599349
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-47.17699660853972;0.0;1656497.7869430159;0.0;0.0;82475106.78817385;0.0;0.0;1570761.1255931878;0.0;0.0;62496552.80362033;0.0;0.0;1742114.7076461408;0.0;0.0;37630712.388165675;0.0;0.0;1670727.3601779689;0.0;0.0;5362831.813179968;-22677.445713543635;0.0;1752816.8227340316;0.0;0.0;322660.9427662714;0.0;0.0;20544613.87405411;0.0;0.0;3531292.348209657;-37163760.950243846;0.0;26471677.131876487;0.0;0.0;3953502.1602270175;-48491975.86252511;0.0;27311235.19624302;0.0;0.0;4787598.0281112725;-50100359.9401861;0.0;11574798.647068411;0.0;0.0;2685823.7207901524;-19518572.941866744;0.0;1752816.8227340316;0.0;0.0;7264640.502944733;-523.2621122269068;0.0;1692131.5903537502;0.0;0.0;41637841.841687135;0.0;0.0;1720710.4774703598;0.0;0.0;76362152.65799777;0.0;0.0;99460901.54289451;0.0;0.0;328510715.99587387;-155297870.4026476
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-9.468691808931453;0.0;217670.98901773832;0.0;0.0;12400205.031598479;0.0;0.0;206404.82010510942;0.0;0.0;9395021.043169407;0.0;0.0;228921.4234903946;0.0;0.0;5554872.974864993;0.0;0.0;219540.8166165235;0.0;0.0;774197.8962236794;-3391.6852730053006;0.0;230327.72779947662;0.0;0.0;42399.046399538725;0.0;0.0;3384247.413678566;0.0;0.0;464027.1203525669;-6315495.02192659;0.0;4509468.877270446;0.0;0.0;519507.31964967214;-8484937.616111556;0.0;4535744.3946661735;0.0;0.0;629111.1319391119;-8502761.867080497;0.0;1843515.9663346382;0.0;0.0;352928.87816686573;-3211209.357126096;0.0;230327.72779947662;0.0;0.0;1068501.0309482624;-68.75890953898373;0.0;222353.42523468751;0.0;0.0;6305061.0254157875;0.0;0.0;226108.81487223052;0.0;0.0;11503582.404647127;0.0;0.0;16054632.396885462;0.0;0.0;49009414.90337549;-26517864.30642728
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-18.90495884228257;0.0;130692.960546875;0.0;0.0;24170720.565292217;0.0;0.0;118045.2546875;0.0;0.0;18039614.114355844;0.0;0.0;130692.960546875;0.0;0.0;10184803.66239345;0.0;0.0;126477.05859375;0.0;0.0;1408864.4171352556;0.0;0.0;130692.960546875;0.0;0.0;361764.63655328786;0.0;0.0;4313983.391254934;0.0;0.0;350094.8095676979;-10535575.134826064;0.0;5871677.919040165;0.0;0.0;361764.63655328786;-14031638.230456626;0.0;5684669.310756139;0.0;0.0;361764.63655328786;-13589876.382816005;0.0;2364968.362421468;0.0;0.0;350094.8095676979;-5342798.473004387;0.0;130692.960546875;0.0;0.0;1757316.5156343742;0.0;0.0;126477.05859375;0.0;0.0;12286777.099229133;0.0;0.0;130692.960546875;0.0;0.0;22267615.872728165;0.0;0.0;19259763.15808208;0.0;0.0;91901195.77556369;-43499888.22110308
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-9.247856570835715;0.0;352376.73864561337;0.0;0.0;15570648.120175757;0.0;0.0;334138.4980956094;0.0;0.0;12005891.950449808;0.0;0.0;370589.50749326963;0.0;0.0;7518436.211101826;0.0;0.0;355403.7095527735;0.0;0.0;1090340.0456272669;-2848.9574932345563;0.0;372866.1035992267;0.0;0.0;68637.70757588635;0.0;0.0;4001804.039450466;0.0;0.0;751190.4275843952;-7191836.860855599;0.0;5247987.694877155;0.0;0.0;841004.5630185363;-9574140.43086978;0.0;5416143.70303225;0.0;0.0;1018436.7237854055;-9893712.115707895;0.0;2125496.072251944;0.0;0.0;571339.0085812518;-3485483.859903741;0.0;372866.1035992267;0.0;0.0;1541022.3875426285;-111.3103790519433;0.0;359956.90176468756;0.0;0.0;7992040.270158423;0.0;0.0;366036.3152813556;0.0;0.0;14477388.510659939;0.0;0.0;19675665.387643576;0.0;0.0;63446375.92626112;-30148133.5352093
