;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;26313702.904665727;0.0;4629707.4585253075;3029439.4792054263;20692824.571500897
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;25846385.842368584;0.0;4485063.255030417;3029439.4792054263;20693631.588913824
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;25740190.549433257;0.0;4673723.403353697;3029439.4792054263;20694438.606326766
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;25645464.64926382;0.0;4859303.28483886;3029439.4792054263;20877228.05035541
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;25500612.332097344;0.0;4912966.047078896;3029439.4792054263;20888122.785429936
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;25368130.82191611;0.0;4890936.246830636;3029439.4792054263;20911526.290404916
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;25340066.661410224;0.0;5019617.065330525;3029439.4792054263;21081963.532426845
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;23919094.778577592;0.0;5072607.716923475;3029439.4792054263;2779750.023390724
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;23376961.57753687;0.0;4798875.405428961;3029439.4792054263;2782171.075629515
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;22364986.08554989;0.0;4616714.552479766;3029439.4792054263;2784188.6191618387
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;21453806.89824413;0.0;4789984.174908888;3029439.4792054263;2784995.6365747694
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;19980310.32368824;0.0;4549439.148088888;3029439.4792054263;2784592.127868302
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;18846350.174162354;0.0;4141803.265896172;3029439.4792054263;2718752.371230227
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;18013317.161228545;0.0;4259236.431417994;3029439.4792054263;2719962.8973496216
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;17228642.731253464;0.0;3925408.934999664;3029439.4792054263;2718752.371230227
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;17249057.83393717;0.0;3783018.247341365;3029439.4792054263;2719559.3886431563
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;17410065.552232344;0.0;3757022.4869629377;3029439.4792054263;2719155.879936692
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;18156090.800559487;0.0;3774719.309872227;3029439.4792054263;2652912.614592149
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;18107374.222008016;0.0;3886688.209805095;3029439.4792054263;2507089.4036645833
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;17997268.128574632;0.0;3906085.8488273504;3029439.4792054263;2506282.386251652
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;18018830.28907036;0.0;4017891.05895968;3029439.4792054263;2501843.7904805397
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;18125204.110244602;0.0;4273339.01374118;3029439.4792054263;2493773.6163512394
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;18230660.318619367;0.0;4734067.807374281;3029439.4792054263;2441317.4845107934
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;18318206.575482436;0.0;4662950.471256181;3029439.4792054263;2250054.357646398
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;18744552.485003646;0.0;4681377.180404112;3029439.4792054263;2250861.375059328
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;18940481.35825274;0.0;4080567.7169366973;3029439.4792054263;2251668.392472255
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;19093127.85688167;0.0;4027759.552772519;3029439.4792054263;2252475.409885187
2023-01-02 03:00:00;0.0;118964.44763183592;0.0;0.0;19261420.714798383;0.0;4060466.1112223705;3029439.4792054263;2435264.8539138194
2023-01-02 04:00:00;0.0;118964.44763183592;0.0;0.0;19444645.295976978;0.0;4256269.290197142;3029439.4792054263;2446159.588988371
2023-01-02 05:00:00;0.0;118964.44763183592;0.0;0.0;19642062.982085474;0.0;4369069.063481734;3029439.4792054263;2469563.093963341
2023-01-02 06:00:00;0.0;149587.34760742186;0.0;0.0;19792499.995553672;0.0;4424993.47182021;3029439.4792054263;2640000.33598527
2023-01-02 07:00:00;0.0;1173780.6002685549;0.0;0.0;19340316.785520885;0.0;4458158.17401447;3029439.4792054263;2647263.492701638
2023-01-02 08:00:00;0.0;1173780.6002685549;0.0;0.0;18794646.198190417;0.0;4280778.519307136;3029439.4792054263;2815292.708301786
2023-01-02 09:00:00;0.0;1132950.0669677733;0.0;0.0;18213158.28298796;0.0;3840304.4901637402;3029439.4792054263;2817310.25183411
2023-01-02 10:00:00;0.0;1112534.800317383;0.0;0.0;17539322.452369966;0.0;4363604.193894177;3029439.4792054263;2818117.2692470406
2023-01-02 11:00:00;0.0;1132950.0669677733;0.0;0.0;16879796.42625185;0.0;4129911.4566897154;3029439.4792054263;2817713.760540573
2023-01-02 12:00:00;0.0;1132950.0669677733;0.0;0.0;16306708.235419383;0.0;4063514.031051237;3029439.4792054263;2818117.2692470406
2023-01-02 13:00:00;0.0;1132950.0669677733;0.0;0.0;15945819.988773948;0.0;3972267.501719491;3029439.4792054263;2736523.713685757
2023-01-02 14:00:00;0.0;1132950.0669677733;0.0;0.0;15823041.85835023;0.0;3710482.204694346;3029439.4792054263;2735313.1875663623
2023-01-02 15:00:00;0.0;1112534.800317383;0.0;0.0;16181503.065059131;0.0;3659706.8141811583;3029439.4792054263;2736120.2049792917
2023-01-02 16:00:00;0.0;1143157.7002929687;0.0;0.0;16613978.149785148;0.0;3692653.461582146;3029439.4792054263;2735716.6962728268
2023-01-02 17:00:00;0.0;200625.51423339845;0.0;0.0;17359495.052313454;0.0;3558216.9247643105;3029439.4792054263;2735716.6962728268
2023-01-02 18:00:00;0.0;200625.51423339845;0.0;0.0;17809919.786277913;0.0;3968640.760584854;3029439.4792054263;2507089.4036645833
2023-01-02 19:00:00;0.0;221040.7808837891;0.0;0.0;18090809.928817075;0.0;3751062.8335678605;3029439.4792054263;2506282.386251652
2023-01-02 20:00:00;0.0;221040.7808837891;0.0;0.0;18360937.786445856;0.0;3217507.4897362646;3029439.4792054263;2501843.7904805397
2023-01-02 21:00:00;0.0;221040.7808837891;0.0;0.0;18633742.499716114;0.0;3102830.4632449737;3029439.4792054263;2493773.6163512394
2023-01-02 22:00:00;0.0;170002.61425781247;0.0;0.0;18927422.546287466;0.0;3550340.4179056734;3029439.4792054263;2441317.4845107934
2023-01-02 23:00:00;0.0;170002.61425781247;0.0;0.0;19211436.408581868;0.0;3595458.450869657;3029439.4792054263;2250054.357646398
2023-01-03 00:00:00;0.0;118964.44763183592;0.0;0.0;19469402.253524575;0.0;3501527.8634683974;3029439.4792054263;2250861.375059328
2023-01-03 01:00:00;0.0;118964.44763183592;0.0;0.0;19758197.532951277;0.0;3549763.286601337;3029439.4792054263;2251668.392472255
2023-01-03 02:00:00;0.0;118964.44763183592;0.0;0.0;19985686.489842236;0.0;3688772.305524058;3029439.4792054263;2252475.409885187
2023-01-03 03:00:00;0.0;118964.44763183592;0.0;0.0;20278106.890100915;0.0;3812210.7784798406;3029439.4792054263;2435264.8539138194
2023-01-03 04:00:00;0.0;118964.44763183592;0.0;0.0;20509481.163639728;0.0;3798741.1328627686;3029439.4792054263;2446159.588988371
2023-01-03 05:00:00;0.0;118964.44763183592;0.0;0.0;20672631.99760703;0.0;3649205.352675148;3029439.4792054263;2469563.093963341
2023-01-03 06:00:00;0.0;149587.34760742186;0.0;0.0;20899771.744217925;0.0;3711787.7091209837;3029439.4792054263;2640000.33598527
2023-01-03 07:00:00;0.0;1173780.6002685549;0.0;0.0;20450588.844743297;0.0;3774088.609204299;3029439.4792054263;2647263.492701638
2023-01-03 08:00:00;0.0;1173780.6002685549;0.0;0.0;20053070.663819738;0.0;3626480.7727682735;3029439.4792054263;2815292.708301786
2023-01-03 09:00:00;0.0;1132950.0669677733;0.0;0.0;19314892.618315585;0.0;2910710.8188523883;3029439.4792054263;2817310.25183411
2023-01-03 10:00:00;0.0;1112534.800317383;0.0;0.0;19124648.46146139;0.0;3078912.069496998;3029439.4792054263;2818117.2692470406
2023-01-03 11:00:00;0.0;1132950.0669677733;0.0;0.0;18221076.98305641;0.0;2840113.6594553255;3029439.4792054263;2817713.760540573
2023-01-03 12:00:00;0.0;1132950.0669677733;0.0;0.0;17484557.140018433;0.0;2600153.55964987;3029439.4792054263;2818117.2692470406
2023-01-03 13:00:00;0.0;1132950.0669677733;0.0;0.0;16492448.911876636;0.0;2502937.437391011;3029439.4792054263;2736523.713685757
2023-01-03 14:00:00;0.0;1132950.0669677733;0.0;0.0;15403890.45213416;0.0;2615464.7266576365;3029439.4792054263;2735313.1875663623
2023-01-03 15:00:00;0.0;1112534.800317383;0.0;0.0;15737672.846209757;0.0;2902859.693358096;3029439.4792054263;2736120.2049792917
2023-01-03 16:00:00;0.0;1143157.7002929687;0.0;0.0;16164898.956364185;0.0;3029449.786228834;3029439.4792054263;2735716.6962728268
2023-01-03 17:00:00;0.0;200625.51423339845;0.0;0.0;16752075.019262169;0.0;3001639.321821164;3029439.4792054263;2735716.6962728268
2023-01-03 18:00:00;0.0;200625.51423339845;0.0;0.0;17147569.216013554;0.0;2869583.4502346283;3029439.4792054263;2507089.4036645833
2023-01-03 19:00:00;0.0;221040.7808837891;0.0;0.0;17335555.046963066;0.0;3259176.7843937264;3029439.4792054263;2506282.386251652
2023-01-03 20:00:00;0.0;221040.7808837891;0.0;0.0;17515414.092639014;0.0;3295201.9668750353;3029439.4792054263;2501843.7904805397
2023-01-03 21:00:00;0.0;221040.7808837891;0.0;0.0;17701278.057012945;0.0;3331943.2213903745;3029439.4792054263;2493773.6163512394
2023-01-03 22:00:00;0.0;170002.61425781247;0.0;0.0;17910469.499986596;0.0;3284366.8085117084;3029439.4792054263;2441317.4845107934
2023-01-03 23:00:00;0.0;170002.61425781247;0.0;0.0;18115600.716884516;0.0;3493441.6627373532;3029439.4792054263;2250054.357646398
2023-01-04 00:00:00;0.0;118964.44763183592;0.0;0.0;18432251.01329208;0.0;3923889.957509191;3029439.4792054263;2250861.375059328
2023-01-04 01:00:00;0.0;118964.44763183592;0.0;0.0;18665145.724130355;0.0;4122503.1388760568;3029439.4792054263;2251668.392472255
2023-01-04 02:00:00;0.0;118964.44763183592;0.0;0.0;18974179.691871427;0.0;4453947.592045939;3029439.4792054263;2252475.409885187
2023-01-04 03:00:00;0.0;118964.44763183592;0.0;0.0;19233142.018460084;0.0;4565319.346781752;3029439.4792054263;2435264.8539138194
2023-01-04 04:00:00;0.0;118964.44763183592;0.0;0.0;19501166.178777605;0.0;4520593.647198046;3029439.4792054263;2446159.588988371
2023-01-04 05:00:00;0.0;118964.44763183592;0.0;0.0;19777802.637205657;0.0;4708722.261849382;3029439.4792054263;2469563.093963341
2023-01-04 06:00:00;0.0;149587.34760742186;0.0;0.0;20068839.746085368;0.0;4818324.573877663;3029439.4792054263;2640000.33598527
2023-01-04 07:00:00;0.0;1173780.6002685549;0.0;0.0;19692911.10525433;0.0;4926993.1863245405;3029439.4792054263;2647263.492701638
2023-01-04 08:00:00;0.0;1173780.6002685549;0.0;0.0;19000290.856739532;0.0;4853012.37538696;3029439.4792054263;2815292.708301786
2023-01-04 09:00:00;0.0;1132950.0669677733;0.0;0.0;18355043.611856483;0.0;4345306.706536314;3029439.4792054263;2817310.25183411
2023-01-04 10:00:00;0.0;1112534.800317383;0.0;0.0;17855463.365839556;0.0;4212133.662930485;3029439.4792054263;2818117.2692470406
2023-01-04 11:00:00;0.0;1132950.0669677733;0.0;0.0;16870872.03982464;0.0;4064673.7390111457;3029439.4792054263;2817713.760540573
2023-01-04 12:00:00;0.0;1132950.0669677733;0.0;0.0;16016616.020074071;0.0;3805045.9764384115;3029439.4792054263;2818117.2692470406
2023-01-04 13:00:00;0.0;1132950.0669677733;0.0;0.0;15451910.989543015;0.0;3584000.348179327;3029439.4792054263;2736523.713685757
2023-01-04 14:00:00;0.0;1132950.0669677733;0.0;0.0;15094338.280962668;0.0;3689159.0232716235;3029439.4792054263;2735313.1875663623
2023-01-04 15:00:00;0.0;1112534.800317383;0.0;0.0;15571963.133803831;0.0;3899698.3077643495;3029439.4792054263;2736120.2049792917
2023-01-04 16:00:00;0.0;1143157.7002929687;0.0;0.0;16174255.331401322;0.0;4329019.495861832;3029439.4792054263;2735716.6962728268
2023-01-04 17:00:00;0.0;200625.51423339845;0.0;0.0;16949197.928452406;0.0;4102236.3608954116;3029439.4792054263;2735716.6962728268
2023-01-04 18:00:00;0.0;200625.51423339845;0.0;0.0;17533019.99060881;0.0;3955147.4929236174;3029439.4792054263;2507089.4036645833
2023-01-04 19:00:00;0.0;221040.7808837891;0.0;0.0;17920459.61742375;0.0;4295911.20623338;3029439.4792054263;2506282.386251652
2023-01-04 20:00:00;0.0;221040.7808837891;0.0;0.0;18299966.453574143;0.0;4386281.624484632;3029439.4792054263;2501843.7904805397
2023-01-04 21:00:00;0.0;221040.7808837891;0.0;0.0;18685849.595328294;0.0;4555041.757399505;3029439.4792054263;2493773.6163512394
2023-01-04 22:00:00;0.0;170002.61425781247;0.0;0.0;19095650.045058176;0.0;4797917.715354465;3029439.4792054263;2441317.4845107934
