;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-403.91625684212744;0.0;19053522.173955597;0.0;0.0;792197034.7973492;0.0;0.0;18067354.011808775;0.0;0.0;642072883.4584447;0.0;0.0;20038313.044152457;0.0;0.0;429443301.2061398;0.0;0.0;19217194.88833842;0.0;0.0;76226107.48994893;0.0;0.0;20161411.902927067;0.0;0.0;4184355.9356412385;0.0;0.0;18601700.594465382;0.0;0.0;49340486.603865;-201009070.25678357;0.0;19915214.18537785;0.0;0.0;50306052.54061522;-318897830.8636754;0.0;20161411.902927067;0.0;0.0;57426373.5901721;-311119141.248237;0.0;19094096.029563814;0.0;0.0;49589291.18289992;-52255979.53216548;0.0;20161411.902927067;0.0;0.0;134121504.48836993;0.0;0.0;19463392.605887637;0.0;0.0;485090447.42169654;0.0;0.0;19792115.32660324;0.0;0.0;756396709.2457277;0.0;0.0;233727138.56893438;0.0;0.0;3526394547.9608703;-883282021.9008616
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-119.22295162631822;0.0;3567934.5896801776;0.0;0.0;264763248.88013005;0.0;0.0;3383266.187437229;0.0;0.0;212182516.48106977;0.0;0.0;3752345.0822545895;0.0;0.0;136596755.56129178;0.0;0.0;3598583.7018864006;0.0;0.0;22134806.759397026;0.0;0.0;3775396.3938263906;0.0;0.0;783556.3494247376;0.0;0.0;3483327.1440273933;0.0;0.0;9239427.084311832;-59278395.20150775;0.0;3729293.770682788;0.0;0.0;9420237.54407329;-92724253.37286529;0.0;3775396.3938263906;0.0;0.0;10753578.410418091;-87798755.19682087;0.0;3575532.390314599;0.0;0.0;9294731.48804468;-16510896.569336733;0.0;3775396.3938263906;0.0;0.0;42329474.69965902;0.0;0.0;3644686.3250300037;0.0;0.0;161477433.24966735;0.0;0.0;3706242.4591109864;0.0;0.0;251950864.41180074;0.0;0.0;43767400.83190334;0.0;0.0;1130926630.9192882;-256312300.34053066
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-135.50468049603515;0.0;6692696.302673566;0.0;0.0;221002273.23406443;0.0;0.0;6346297.146005506;0.0;0.0;180018873.04529306;0.0;0.0;7038611.674944337;0.0;0.0;123606493.5430415;0.0;0.0;6750187.6032529315;0.0;0.0;23228808.112298;0.0;0.0;7081851.096478183;0.0;0.0;1469787.225892336;0.0;0.0;6533990.4955837;0.0;0.0;17331225.652188517;-56633614.48666431;0.0;6995372.25341049;0.0;0.0;17670388.118627872;-89210922.00300676;0.0;7081851.096478183;0.0;0.0;20171455.68645829;-91203139.78972048;0.0;6706948.181719085;0.0;0.0;17414096.9962734;-14577120.479958309;0.0;7081851.096478183;0.0;0.0;37863214.44589807;0.0;0.0;6836666.446320624;0.0;0.0;134769777.10440144;0.0;0.0;6952132.831876644;0.0;0.0;211024779.0130593;0.0;0.0;82098456.22522144;0.0;0.0;1005571172.1774962;-251624796.75934982
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-226.86148546940368;0.0;11394571.592354191;0.0;0.0;361321369.45958376;0.0;0.0;10804813.771039547;0.0;0.0;296261613.16938573;0.0;0.0;11983505.752217472;0.0;0.0;205476609.40742758;0.0;0.0;11492452.731847618;0.0;0.0;39077598.641574994;0.0;0.0;12057122.522200383;0.0;0.0;2502369.0025001788;0.0;0.0;11124368.881933067;0.0;0.0;29507074.958446626;-94054830.31070356;0.0;11909888.982234562;0.0;0.0;30084512.037690587;-148267631.95824906;0.0;12057122.522200383;0.0;0.0;34342675.29060472;-148645472.5788142;0.0;11418835.961864706;0.0;0.0;29648516.52478436;-23359633.2076961;0.0;12057122.522200383;0.0;0.0;64984177.93665852;0.0;0.0;11639686.271813437;0.0;0.0;222560326.62767637;0.0;0.0;11836272.212251652;0.0;0.0;345915110.52784675;0.0;0.0;139775763.7241574;0.0;0.0;1661681953.5841804;-414327568.0554629
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-16.214841148306522;0.0;572094.2887627969;0.0;0.0;23421544.574571755;0.0;0.0;542483.9538245625;0.0;0.0;18814263.478638843;0.0;0.0;601663.2696221719;0.0;0.0;12375467.285618246;0.0;0.0;577008.6675464063;0.0;0.0;2186300.821364148;0.0;0.0;605359.3922295938;0.0;0.0;125637.98499173179;0.0;0.0;558528.0545092969;0.0;0.0;1481479.9244536906;-6713531.552937279;0.0;597967.14701475;0.0;0.0;1510471.6642903166;-10505143.432374127;0.0;605359.3922295938;0.0;0.0;1724263.8949035679;-10176728.256487109;0.0;573312.5449389843;0.0;0.0;1488664.531408988;-1774174.1343350802;0.0;605359.3922295938;0.0;0.0;3722504.0535463844;0.0;0.0;584400.91276125;0.0;0.0;14190171.35435426;0.0;0.0;594271.0244073281;0.0;0.0;22297780.259700693;0.0;0.0;7017808.040076329;0.0;0.0;103338549.82784262;-29169577.3761336
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-13.663881786174956;0.0;474135.7647965625;0.0;0.0;29154050.66603343;0.0;0.0;449595.54637875;0.0;0.0;23232536.487535898;0.0;0.0;498641.7101090625;0.0;0.0;14724135.580084054;0.0;0.0;478208.664646875;0.0;0.0;2364621.6548564187;0.0;0.0;501704.953273125;0.0;0.0;104125.25220340495;0.0;0.0;462892.4488265625;0.0;0.0;1227809.175530582;-7330540.1888855165;0.0;495578.466945;0.0;0.0;1251836.719608934;-11238904.165777767;0.0;501704.953273125;0.0;0.0;1429021.7479520605;-10867711.652099771;0.0;475145.4214828125;0.0;0.0;1233975.9025495097;-2067377.4766983492;0.0;501704.953273125;0.0;0.0;4326725.546368421;0.0;0.0;484335.150975;0.0;0.0;17495479.634989787;0.0;0.0;492515.2237809375;0.0;0.0;27684761.337300435;0.0;0.0;5816163.257760937;0.0;0.0;124229079.70501292;-31504533.483461406
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-45.11364756239899;0.0;1656497.7869430159;0.0;0.0;97278714.42166848;0.0;0.0;1570761.1255931878;0.0;0.0;77494732.60863554;0.0;0.0;1742114.7076461408;0.0;0.0;49801521.628893584;0.0;0.0;1670727.3601779689;0.0;0.0;8158075.455193937;0.0;0.0;1752816.8227340316;0.0;0.0;363784.51626367203;0.0;0.0;1617216.7847385157;0.0;0.0;4289621.945999808;-22824109.607398055;0.0;1731412.5925582503;0.0;0.0;4373567.466558764;-35952424.98156477;0.0;1752816.8227340316;0.0;0.0;4992602.412078555;-35294227.497169204;0.0;1660025.2450900783;0.0;0.0;4311551.097313301;-6597162.736276694;0.0;1752816.8227340316;0.0;0.0;14412356.597126303;0.0;0.0;1692131.5903537502;0.0;0.0;58252752.90655245;0.0;0.0;1720710.4774703598;0.0;0.0;92240463.65171401;0.0;0.0;20320048.138773363;0.0;0.0;415969744.70799845;-100667924.8224087
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-9.035704922059221;0.0;217670.98901773832;0.0;0.0;14670117.392436486;0.0;0.0;206404.82010510942;0.0;0.0;11693614.366634486;0.0;0.0;228921.4234903946;0.0;0.0;7401514.516104679;0.0;0.0;219540.8166165235;0.0;0.0;1192175.5415719291;0.0;0.0;230327.72779947662;0.0;0.0;47802.86220036888;0.0;0.0;212509.29507111333;0.0;0.0;563674.9163553781;-3755792.4906052044;0.0;227515.11918131256;0.0;0.0;574705.7216046853;-5965868.658269132;0.0;230327.72779947662;0.0;0.0;656049.5965497292;-5671947.299086641;0.0;218134.51230744144;0.0;0.0;566545.7138219523;-1041691.3335123124;0.0;230327.72779947662;0.0;0.0;2207801.288038487;0.0;0.0;222353.42523468751;0.0;0.0;8837015.744941805;0.0;0.0;226108.81487223052;0.0;0.0;13935210.0666025;0.0;0.0;2670142.399294981;0.0;0.0;62346227.726862475;-16435299.781473288
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-17.259539932943618;0.0;130692.960546875;0.0;0.0;29019090.249844357;0.0;0.0;118045.2546875;0.0;0.0;22985974.51271893;0.0;0.0;130692.960546875;0.0;0.0;14262795.623710746;0.0;0.0;126477.05859375;0.0;0.0;2355517.879606656;0.0;0.0;130692.960546875;0.0;0.0;407872.02870467125;0.0;0.0;126477.05859375;0.0;0.0;394714.86648839153;-6138087.291820506;0.0;130692.960546875;0.0;0.0;407872.02870467125;-9993099.5418796;0.0;130692.960546875;0.0;0.0;407872.02870467125;-9198558.875723671;0.0;126477.05859375;0.0;0.0;394714.86648839153;-1731038.0301117885;0.0;130692.960546875;0.0;0.0;4490815.307593723;0.0;0.0;126477.05859375;0.0;0.0;17553669.774243366;0.0;0.0;130692.960546875;0.0;0.0;27433771.55512366;0.0;0.0;1538804.2128906248;0.0;0.0;120114680.72193223;-27060783.739535563
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.868402709712983;0.0;352376.73864561337;0.0;0.0;18301367.212267518;0.0;0.0;334138.4980956094;0.0;0.0;14764401.026273305;0.0;0.0;370589.50749326963;0.0;0.0;9773905.892596997;0.0;0.0;355403.7095527735;0.0;0.0;1642359.6036888992;0.0;0.0;372866.1035992267;0.0;0.0;77385.67622678906;0.0;0.0;344020.72902298835;0.0;0.0;912505.2887294077;-4153896.506306424;0.0;368312.9113873126;0.0;0.0;930362.5107502487;-6732987.175038779;0.0;372866.1035992267;0.0;0.0;1062046.0644074397;-6557748.98400643;0.0;353127.11344681645;0.0;0.0;917105.6855621042;-1116550.3432237508;0.0;372866.1035992267;0.0;0.0;2946223.630690399;0.0;0.0;359956.90176468756;0.0;0.0;11093499.897933748;0.0;0.0;366036.3152813556;0.0;0.0;17403151.355398078;0.0;0.0;4322560.7354881065;0.0;0.0;79824313.84452492;-18561183.008575384
