;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-403.91625684212744;0.0;19053522.173955597;0.0;0.0;792197034.7973492;0.0;0.0;18067354.011808775;0.0;0.0;642072883.4584447;0.0;0.0;20038313.044152457;0.0;0.0;429443301.2061398;0.0;0.0;19217194.88833842;0.0;0.0;76226107.48994893;0.0;0.0;20161411.902927067;0.0;0.0;4184355.9356412385;0.0;0.0;114350998.80298415;0.0;0.0;49340486.603865;-191188342.21991074;0.0;172108754.42114532;0.0;0.0;50306052.54061522;-304029979.32819486;0.0;169956957.75838014;0.0;0.0;57426373.5901721;-298358355.5709986;0.0;42164271.89734012;0.0;0.0;49589290.94676486;-50081415.25829634;0.0;20161411.902927067;0.0;0.0;134121504.48836657;0.0;0.0;19463392.605887637;0.0;0.0;485090447.42169654;0.0;0.0;19792115.32660324;0.0;0.0;756396709.2457277;0.0;0.0;654535698.73645;0.0;0.0;3526394547.724732;-843658092.3774006
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-119.22295162631822;0.0;3567934.5896801776;0.0;0.0;264763248.88013005;0.0;0.0;3383266.187437229;0.0;0.0;212182516.48106977;0.0;0.0;3752345.0822545895;0.0;0.0;136596755.56129178;0.0;0.0;3598583.7018864006;0.0;0.0;22134806.759397026;0.0;0.0;3775396.3938263906;0.0;0.0;783556.3494247376;0.0;0.0;31132131.97296624;0.0;0.0;9239427.084311832;-55838762.84239503;0.0;47729327.13655677;0.0;0.0;9420237.54407329;-88571857.43944272;0.0;45529087.122001655;0.0;0.0;10753578.410418091;-83780265.70627958;0.0;10343421.206260284;0.0;0.0;9294710.102720322;-15291272.859176643;0.0;3775396.3938263906;0.0;0.0;42329474.69965899;0.0;0.0;3644686.3250300037;0.0;0.0;161477433.24966735;0.0;0.0;3706242.4591109864;0.0;0.0;251950864.41180074;0.0;0.0;163937818.5708371;0.0;0.0;1130926609.5339642;-243482158.84729397
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-135.50468049603515;0.0;6692696.302673566;0.0;0.0;221002273.23406443;0.0;0.0;6346297.146005506;0.0;0.0;180018873.04529306;0.0;0.0;7038611.674944337;0.0;0.0;123606493.5430415;0.0;0.0;6750187.6032529315;0.0;0.0;23228808.112298;0.0;0.0;7081851.096478183;0.0;0.0;1469787.225892336;0.0;0.0;33880874.99384183;0.0;0.0;17331225.652188517;-54901999.964973584;0.0;49808340.81035969;0.0;0.0;17670388.118627872;-86060074.91102497;0.0;51311122.35618363;0.0;0.0;20171455.68645829;-88656045.17361507;0.0;13698166.55795508;0.0;0.0;17414095.714890763;-14427456.639084468;0.0;7081851.096478183;0.0;0.0;37863214.40147864;0.0;0.0;6836666.446320624;0.0;0.0;134769777.10440144;0.0;0.0;6952132.831876644;0.0;0.0;211024779.0130593;0.0;0.0;203478798.9163702;0.0;0.0;1005571170.8516941;-244045576.68869805
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-226.86148546940368;0.0;11394571.592354191;0.0;0.0;361321369.45958376;0.0;0.0;10804813.771039547;0.0;0.0;296261613.16938573;0.0;0.0;11983505.752217472;0.0;0.0;205476609.40742758;0.0;0.0;11492452.731847618;0.0;0.0;39077598.641574994;0.0;0.0;12057122.522200383;0.0;0.0;2502369.0025001788;0.0;0.0;56599212.47615138;0.0;0.0;29507074.958446626;-91374638.84121718;0.0;83133650.30116996;0.0;0.0;30084512.037690587;-143297157.4563883;0.0;84203458.17809197;0.0;0.0;34342675.29060472;-144805189.3282053;0.0;22567862.905070618;0.0;0.0;29648514.890485026;-23217730.510786667;0.0;12057122.522200383;0.0;0.0;64984177.87301883;0.0;0.0;11639686.271813437;0.0;0.0;222560326.62767634;0.0;0.0;11836272.212251652;0.0;0.0;345915110.52784675;0.0;0.0;339769731.23640865;0.0;0.0;1661681951.8862412;-402694716.1365974
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-16.214841148306522;0.0;572094.2887627969;0.0;0.0;23421544.574571755;0.0;0.0;542483.9538245625;0.0;0.0;18814263.478638843;0.0;0.0;601663.2696221719;0.0;0.0;12375467.285618246;0.0;0.0;577008.6675464063;0.0;0.0;2186300.821364148;0.0;0.0;605359.3922295938;0.0;0.0;125637.98499173179;0.0;0.0;3776891.6105703767;0.0;0.0;1481479.9244536906;-6411288.5983477095;0.0;5633059.491695349;0.0;0.0;1510471.6642903166;-10043608.146407628;0.0;5515077.765326796;0.0;0.0;1724263.8949035679;-9780439.556481997;0.0;1396095.0810557809;0.0;0.0;1488664.172290561;-1713208.9910870388;0.0;605359.3922295938;0.0;0.0;3722504.053478444;0.0;0.0;584400.91276125;0.0;0.0;14190171.35435426;0.0;0.0;594271.0244073281;0.0;0.0;22297780.259700693;0.0;0.0;21003764.85003201;0.0;0.0;103338549.46865627;-27948545.29232437
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-13.663881786174956;0.0;474135.7647965625;0.0;0.0;29154050.66603343;0.0;0.0;449595.54637875;0.0;0.0;23232536.487535898;0.0;0.0;498641.7101090625;0.0;0.0;14724135.580084054;0.0;0.0;478208.664646875;0.0;0.0;2364621.6548564187;0.0;0.0;501704.953273125;0.0;0.0;104125.25220340495;0.0;0.0;3955342.2156763915;0.0;0.0;1227809.175530582;-6899428.790365611;0.0;5928520.722374222;0.0;0.0;1251836.719608934;-10740590.410702286;0.0;5756385.485479172;0.0;0.0;1429021.7479520605;-10356486.226471055;0.0;1389508.5145325563;0.0;0.0;1233975.423639553;-1919474.583358922;0.0;501704.953273125;0.0;0.0;4326725.546363523;0.0;0.0;484335.150975;0.0;0.0;17495479.634989787;0.0;0.0;492515.2237809375;0.0;0.0;27684761.337300435;0.0;0.0;20910598.905295778;0.0;0.0;124229079.22609806;-29915980.01089787
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-45.11364756239899;0.0;1656497.7869430159;0.0;0.0;97278714.42166848;0.0;0.0;1570761.1255931878;0.0;0.0;77494732.60863554;0.0;0.0;1742114.7076461408;0.0;0.0;49801521.628893584;0.0;0.0;1670727.3601779689;0.0;0.0;8158075.455193937;0.0;0.0;1752816.8227340316;0.0;0.0;363784.51626367203;0.0;0.0;12470317.123215145;0.0;0.0;4289621.945999808;-21544512.579437688;0.0;18977089.67792394;0.0;0.0;4373567.466558764;-34259166.63496432;0.0;18799709.956363324;0.0;0.0;4992602.412078555;-33709126.7410853;0.0;4553400.21260499;0.0;0.0;4311550.320368061;-6159409.021838585;0.0;1752816.8227340316;0.0;0.0;14412356.597121516;0.0;0.0;1692131.5903537502;0.0;0.0;58252752.90655245;0.0;0.0;1720710.4774703598;0.0;0.0;92240463.65171401;0.0;0.0;68359093.66375989;0.0;0.0;415969743.9310484;-95672214.97732589
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-9.035704922059221;0.0;217670.98901773832;0.0;0.0;14670117.392436486;0.0;0.0;206404.82010510942;0.0;0.0;11693614.366634486;0.0;0.0;228921.4234903946;0.0;0.0;7401514.516104679;0.0;0.0;219540.8166165235;0.0;0.0;1192175.5415719291;0.0;0.0;230327.72779947662;0.0;0.0;47802.86220036888;0.0;0.0;1961189.1824386937;0.0;0.0;563674.9163553781;-3533779.6568349414;0.0;3034895.112977835;0.0;0.0;574705.7216046853;-5656059.564621008;0.0;2910996.0788348163;0.0;0.0;656049.5965497292;-5399384.977383679;0.0;668812.0280636048;0.0;0.0;566544.9794833309;-973969.5072364585;0.0;230327.72779947662;0.0;0.0;2207801.287989984;0.0;0.0;222353.42523468751;0.0;0.0;8837015.744941805;0.0;0.0;226108.81487223052;0.0;0.0;13935210.0666025;0.0;0.0;10357548.147250589;0.0;0.0;62346226.992475346;-15563193.706076086
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-17.259539932943618;0.0;130692.960546875;0.0;0.0;29019090.249844357;0.0;0.0;118045.2546875;0.0;0.0;22985974.51271893;0.0;0.0;130692.960546875;0.0;0.0;14262795.623710746;0.0;0.0;126477.05859375;0.0;0.0;2355517.879606656;0.0;0.0;130692.960546875;0.0;0.0;407872.02870467125;0.0;0.0;2153954.953368467;0.0;0.0;394714.86648839153;-5621376.688783889;0.0;3688624.8961088723;0.0;0.0;407872.02870467125;-9318452.049966699;0.0;3321518.3012948665;0.0;0.0;407872.02870467125;-8648006.38914063;0.0;622754.3257268271;0.0;0.0;394714.86648839153;-1546229.4863559804;0.0;130692.960546875;0.0;0.0;4490815.307593707;0.0;0.0;126477.05859375;0.0;0.0;17553669.774243366;0.0;0.0;130692.960546875;0.0;0.0;27433771.55512366;0.0;0.0;10811316.651108408;0.0;0.0;120114680.72193222;-25134064.614247195
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.868402709712983;0.0;352376.73864561337;0.0;0.0;18301367.212267518;0.0;0.0;334138.4980956094;0.0;0.0;14764401.026273305;0.0;0.0;370589.50749326963;0.0;0.0;9773905.892596997;0.0;0.0;355403.7095527735;0.0;0.0;1642359.6036888992;0.0;0.0;372866.1035992267;0.0;0.0;77385.67622678906;0.0;0.0;2334792.8506456427;0.0;0.0;912505.2887294077;-3956976.868098096;0.0;3604531.1564003895;0.0;0.0;930362.5107502487;-6433163.8474506335;0.0;3555153.9527225336;0.0;0.0;1062046.0644074397;-6301430.513445124;0.0;849869.9422840929;0.0;0.0;917105.6663654187;-1071201.6379062908;0.0;372866.1035992267;0.0;0.0;2946223.630656318;0.0;0.0;359956.90176468756;0.0;0.0;11093499.897933748;0.0;0.0;366036.3152813556;0.0;0.0;17403151.355398078;0.0;0.0;13228581.780084418;0.0;0.0;79824313.82529415;-17762772.866900142
131986199;9.666666666666666;2;residential;Before 1930;131986199;Bd131986199;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;3884.2889811197915;803.64599609375;10;2781.545630891544;376.7513044211392;135.01372524032715;-40.289097769257886;0.0;416047.53217773436;0.0;0.0;54169786.0852321;0.0;0.0;375784.86777343747;0.0;0.0;42940373.46846015;0.0;0.0;416047.53217773436;0.0;0.0;27029410.62930905;0.0;0.0;402626.64404296875;0.0;0.0;4827710.91389376;0.0;0.0;416047.53217773436;0.0;0.0;1316152.0606399185;0.0;0.0;4159060.8673675326;0.0;0.0;1273695.54255476;-11106415.966062669;0.0;7319962.095995596;0.0;0.0;1316152.0606399185;-18800896.672191028;0.0;6611575.633838485;0.0;0.0;1316152.0606399185;-17753384.93764393;0.0;1286368.779054449;0.0;0.0;1273695.54255476;-2950596.3077815427;0.0;416047.53217773436;0.0;0.0;8716004.969105564;0.0;0.0;402626.64404296875;0.0;0.0;32854554.460366037;0.0;0.0;416047.53217773436;0.0;0.0;51156999.68768256;0.0;0.0;22638243.19300411;0.0;0.0;228190687.48107854;-50611293.88367916
