;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;30910240.775864743;0.0;5349715.200187046;3029439.4792054263;23330153.0465229
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;30845651.493267197;0.0;5372486.181296172;3029439.4792054263;23331062.91939645
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;30790584.63984891;0.0;5596111.071871807;3029439.4792054263;23331972.792270012
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;30620518.787049443;0.0;5713114.641158007;3029439.4792054263;23538058.998130474
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;30459675.99135509;0.0;5764161.836921439;3029439.4792054263;23550342.281923465
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;30311297.43719888;0.0;5750620.899144342;3029439.4792054263;23576728.595256627
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;30267657.42375471;0.0;5865617.666330778;3029439.4792054263;23768888.29426048
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;28670988.015691698;0.0;5929530.077067214;3029439.4792054263;3134032.922991986
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;27770393.507625245;0.0;5566205.545020176;3029439.4792054263;3136762.5416126503
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;26386327.27427155;0.0;5320957.343075695;3029439.4792054263;3139037.2237965437
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;24619982.151742566;0.0;5304695.183245221;3029439.4792054263;3139947.0966700995
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;22806912.735784367;0.0;4988474.781493076;3029439.4792054263;3139492.1602333207
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;21653277.97943785;0.0;4710283.848256749;3029439.4792054263;3065261.0375750987
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;20848663.472096525;0.0;4805414.6267310055;3029439.4792054263;3066625.846885431
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;20541628.84088724;0.0;4679716.723785138;3029439.4792054263;3065261.0375750987
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;20790096.801849965;0.0;4588533.148951844;3029439.4792054263;3066170.910448656
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;21222420.274496336;0.0;4623409.040991075;3029439.4792054263;3065715.974011877
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;22137800.361817658;0.0;4622459.1051785685;3029439.4792054263;2991029.9149168762
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;22316336.956369042;0.0;4799122.5240847515;3029439.4792054263;2826621.3385564955
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;22394151.020531673;0.0;4935100.793437332;3029439.4792054263;2825711.465682939
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;22552559.36422342;0.0;5018709.255091021;3029439.4792054263;2820707.1648783786
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;22802732.92746382;0.0;5229163.594097787;3029439.4792054263;2811608.436142817
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;23124533.545178693;0.0;5719714.245931162;3029439.4792054263;2752466.6993616684
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;23307464.03258513;0.0;5608187.28090476;3029439.4792054263;2536826.828328865
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;23959595.681111373;0.0;5740141.807523113;3029439.4792054263;2537736.7012024214
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;24458838.359958135;0.0;5187621.484872539;3029439.4792054263;2538646.5740759773
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;24799332.887634847;0.0;5158630.458975454;3029439.4792054263;2539556.4469495323
2023-01-02 03:00:00;0.0;118964.44763183592;0.0;0.0;25091684.42451821;0.0;5268891.466014897;3029439.4792054263;2745642.6528099985
2023-01-02 04:00:00;0.0;118964.44763183592;0.0;0.0;25460520.868025195;0.0;5432608.093527825;3029439.4792054263;2757925.9366030046
2023-01-02 05:00:00;0.0;118964.44763183592;0.0;0.0;25711989.409920406;0.0;5486566.32162006;3029439.4792054263;2784312.2499361336
2023-01-02 06:00:00;0.0;149587.34760742186;0.0;0.0;26036711.01972729;0.0;5594000.768497991;3029439.4792054263;2976471.948939976
2023-01-02 07:00:00;0.0;1173780.6002685549;0.0;0.0;25560182.5461777;0.0;5593789.609881067;3029439.4792054263;2984660.8048019833
2023-01-02 08:00:00;0.0;1173780.6002685549;0.0;0.0;24545684.636601325;0.0;5322679.842216654;3029439.4792054263;3174105.5711601507
2023-01-02 09:00:00;0.0;1132950.0669677733;0.0;0.0;23444675.3777718;0.0;4823954.873402715;3029439.4792054263;3176380.253344043
