;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-390.5023150603686;0.0;19053522.173955597;0.0;0.0;735700276.4761411;0.0;0.0;18067354.011808775;0.0;0.0;583042527.4216722;0.0;0.0;20038313.044152457;0.0;0.0;378988799.6289453;0.0;0.0;19217194.88833842;0.0;0.0;64504576.08488854;-7147.221716188368;0.0;20161411.902927067;0.0;0.0;3953076.135832213;0.0;0.0;18601700.594465382;0.0;0.0;41131531.99675658;-259105453.27803057;0.0;19915214.18537785;0.0;0.0;45846799.05206571;-383642288.85618126;0.0;20161411.902927067;0.0;0.0;53942542.640877225;-375894839.75343543;0.0;19094096.029563814;0.0;0.0;35094460.39290255;-91226948.94653593;0.0;20161411.902927067;0.0;0.0;101229256.85593589;0.0;0.0;19463392.605887637;0.0;0.0;433103262.12590015;0.0;0.0;19792115.32660324;0.0;0.0;702877540.0237254;0.0;0.0;233727138.56893438;0.0;0.0;3179414648.835643;-1109876678.0558994
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-114.34934080050672;0.0;3567934.5896801776;0.0;0.0;243943019.70240557;0.0;0.0;3383266.187437229;0.0;0.0;190383464.34007317;0.0;0.0;3752345.0822545895;0.0;0.0;117872008.67896575;0.0;0.0;3598583.7018864006;0.0;0.0;17733528.21897745;-4904.785622225016;0.0;3775396.3938263906;0.0;0.0;740247.233656059;0.0;0.0;3483327.1440273933;0.0;0.0;7702230.296210786;-74389077.6652192;0.0;3729293.770682788;0.0;0.0;8585204.28247005;-105567314.93176086;0.0;3775396.3938263906;0.0;0.0;10101201.341490738;-102758110.99078593;0.0;3575532.390314599;0.0;0.0;6574631.771846748;-29386156.26509305;0.0;3775396.3938263906;0.0;0.0;29473322.757135045;0.0;0.0;3644686.3250300037;0.0;0.0;142184510.6468563;0.0;0.0;3706242.4591109864;0.0;0.0;232224989.19473648;0.0;0.0;43767400.83190334;0.0;0.0;1007518358.4648242;-312105564.63848126
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-131.26634897517877;0.0;6692696.302673566;0.0;0.0;206102894.4317345;0.0;0.0;6346297.146005506;0.0;0.0;164458952.75560567;0.0;0.0;7038611.674944337;0.0;0.0;110364793.9876768;0.0;0.0;6750187.6032529315;0.0;0.0;19925840.727849733;0.0;0.0;7081851.096478183;0.0;0.0;1388548.4162416584;0.0;0.0;6533990.4955837;0.0;0.0;14447767.168963427;-73852557.85226989;0.0;6995372.25341049;0.0;0.0;16104041.011619277;-111952348.80654167;0.0;7081851.096478183;0.0;0.0;18947733.25337678;-112182415.82206021;0.0;6706948.181719085;0.0;0.0;12327199.305803807;-24479220.25944483;0.0;7081851.096478183;0.0;0.0;29844552.28762157;0.0;0.0;6836666.446320624;0.0;0.0;121157375.86232904;0.0;0.0;6952132.831876644;0.0;0.0;196903741.44767904;0.0;0.0;82098456.22522144;0.0;0.0;911973440.6565013;-322466542.7403166
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-219.70721207280232;0.0;11394571.592354191;0.0;0.0;337612046.7677583;0.0;0.0;10804813.771039547;0.0;0.0;271528232.6926227;0.0;0.0;11983505.752217472;0.0;0.0;184321477.05480424;0.0;0.0;11492452.731847618;0.0;0.0;33673803.998444036;0.0;0.0;12057122.522200383;0.0;0.0;2364056.819968828;0.0;0.0;11124368.881933067;0.0;0.0;24597876.537540503;-121692246.12818828;0.0;11909888.982234562;0.0;0.0;27417746.14213418;-184980532.1588755;0.0;12057122.522200383;0.0;0.0;32259241.015042722;-182482304.84788167;0.0;11418835.961864706;0.0;0.0;20987528.593982194;-38255676.219447605;0.0;12057122.522200383;0.0;0.0;51524964.619234584;0.0;0.0;11639686.271813437;0.0;0.0;200779602.3349375;0.0;0.0;11836272.212251652;0.0;0.0;323449549.052172;0.0;0.0;139775763.7241574;0.0;0.0;1510516125.6286418;-527410759.354393
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-15.798370954879873;0.0;572094.2887627969;0.0;0.0;21720853.5709939;0.0;0.0;542483.9538245625;0.0;0.0;17038572.85845129;0.0;0.0;601663.2696221719;0.0;0.0;10882875.932901582;0.0;0.0;577008.6675464063;0.0;0.0;1849653.3978866877;-419.81425352664013;0.0;605359.3922295938;0.0;0.0;118693.65987593734;0.0;0.0;558528.0545092969;0.0;0.0;1235000.7693366816;-8653620.155056661;0.0;597967.14701475;0.0;0.0;1376579.703021765;-12933174.258519774;0.0;605359.3922295938;0.0;0.0;1619659.62431726;-12461580.399138475;0.0;573312.5449389843;0.0;0.0;1053733.8017973183;-3168684.4339189436;0.0;605359.3922295938;0.0;0.0;2822300.037118418;0.0;0.0;584400.91276125;0.0;0.0;12645279.357567161;0.0;0.0;594271.0244073281;0.0;0.0;20687078.938896358;0.0;0.0;7017808.040076329;0.0;0.0;93050281.65216437;-37217479.06088738
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-13.290578998190012;0.0;474135.7647965625;0.0;0.0;26877315.832698807;0.0;0.0;449595.54637875;0.0;0.0;20841589.985908303;0.0;0.0;498641.7101090625;0.0;0.0;12686596.681709943;0.0;0.0;478208.664646875;0.0;0.0;1942062.780545941;-521.944545201977;0.0;501704.953273125;0.0;0.0;98369.98954050787;0.0;0.0;462892.4488265625;0.0;0.0;1023534.1372837513;-9224024.677419426;0.0;495578.466945;0.0;0.0;1140870.8024461113;-12748844.809671007;0.0;501704.953273125;0.0;0.0;1342328.6506609083;-12651323.487783497;0.0;475145.4214828125;0.0;0.0;873305.1383673429;-3758625.9536223332;0.0;501704.953273125;0.0;0.0;3042755.0442722635;0.0;0.0;484335.150975;0.0;0.0;15394255.15503633;0.0;0.0;492515.2237809375;0.0;0.0;25525632.476723157;0.0;0.0;5816163.257760937;0.0;0.0;110788616.67519337;-38383340.873041466
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-43.73454078544706;0.0;1656497.7869430159;0.0;0.0;89705705.65303113;0.0;0.0;1570761.1255931878;0.0;0.0;69548926.43812625;0.0;0.0;1742114.7076461408;0.0;0.0;43034127.858329356;0.0;0.0;1670727.3601779689;0.0;0.0;6703034.05529047;-1568.735384110682;0.0;1752816.8227340316;0.0;0.0;343677.2377746608;0.0;0.0;1617216.7847385157;0.0;0.0;3575942.0806372697;-29207723.989555806;0.0;1731412.5925582503;0.0;0.0;3985883.5796763063;-41775194.25139702;0.0;1752816.8227340316;0.0;0.0;4689720.970794229;-41629606.658038646;0.0;1660025.2450900783;0.0;0.0;3051100.805585446;-11991758.096708303;0.0;1752816.8227340316;0.0;0.0;10205364.837213852;0.0;0.0;1692131.5903537502;0.0;0.0;51304170.58572584;0.0;0.0;1720710.4774703598;0.0;0.0;85060350.32559471;0.0;0.0;20320048.138773363;0.0;0.0;371208004.4277795;-124605851.73108387
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-8.754344829178148;0.0;217670.98901773832;0.0;0.0;13506164.895293577;0.0;0.0;206404.82010510942;0.0;0.0;10475133.138882797;0.0;0.0;228921.4234903946;0.0;0.0;6367032.4412629;0.0;0.0;219540.8166165235;0.0;0.0;968823.7268781117;-280.225617836761;0.0;230327.72779947662;0.0;0.0;45160.67865526721;0.0;0.0;212509.29507111333;0.0;0.0;469894.2887203748;-4894434.195873546;0.0;227515.11918131256;0.0;0.0;523762.37851717154;-7203187.632241584;0.0;230327.72779947662;0.0;0.0;616249.6623758689;-6890077.905242712;0.0;218134.51230744144;0.0;0.0;400931.746936634;-1923149.0789840166;0.0;230327.72779947662;0.0;0.0;1534420.5697855703;0.0;0.0;222353.42523468751;0.0;0.0;7767338.464318767;0.0;0.0;226108.81487223052;0.0;0.0;12832462.362120442;0.0;0.0;2670142.399294981;0.0;0.0;55507374.35374748;-20911129.037959695
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-16.136822481529546;0.0;130692.960546875;0.0;0.0;26424170.156091806;0.0;0.0;118045.2546875;0.0;0.0;20274463.988531217;0.0;0.0;130692.960546875;0.0;0.0;11917767.918567255;0.0;0.0;126477.05859375;0.0;0.0;1743203.77348675;0.0;0.0;130692.960546875;0.0;0.0;385327.92332801875;0.0;0.0;126477.05859375;0.0;0.0;372897.9903174375;-7884342.256838177;0.0;130692.960546875;0.0;0.0;385327.92332801875;-11483835.769100212;0.0;130692.960546875;0.0;0.0;385327.92332801875;-10701168.82862417;0.0;126477.05859375;0.0;0.0;372897.9903174375;-3242999.3742601285;0.0;130692.960546875;0.0;0.0;2819829.9898117785;0.0;0.0;126477.05859375;0.0;0.0;15151258.093197137;0.0;0.0;130692.960546875;0.0;0.0;24975566.438021194;0.0;0.0;1538804.2128906248;0.0;0.0;105208040.10832606;-33312346.228822686
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.624114019084674;0.0;352376.73864561337;0.0;0.0;16935538.339469828;0.0;0.0;334138.4980956094;0.0;0.0;13329157.546149762;0.0;0.0;370589.50749326963;0.0;0.0;8538386.561815377;0.0;0.0;355403.7095527735;0.0;0.0;1356106.248599154;-20.78848866294358;0.0;372866.1035992267;0.0;0.0;73108.37668987119;0.0;0.0;344020.72902298835;0.0;0.0;760688.4946619716;-5504279.928317538;0.0;368312.9113873126;0.0;0.0;847892.8662014301;-8124750.966489875;0.0;372866.1035992267;0.0;0.0;997615.9303515316;-8018498.2377653215;0.0;353127.11344681645;0.0;0.0;649038.6073962996;-2003009.5767247027;0.0;372866.1035992267;0.0;0.0;2123045.4464829955;0.0;0.0;359956.90176468756;0.0;0.0;9826584.339420473;0.0;0.0;366036.3152813556;0.0;0.0;16106829.601711763;0.0;0.0;4322560.7354881065;0.0;0.0;71543992.35895045;-23650559.497786105
