;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-01-01 00:00:00;0.0;251507.37320171465;0.0;0.0;29121895.202353973;0.0;5278118.470897401;3029439.4792054263;22040637.23833035
2023-01-01 01:00:00;0.0;251507.37320171465;0.0;0.0;28769201.03387702;0.0;5243891.310563614;3029439.4792054263;22041496.820258453
2023-01-01 02:00:00;0.0;251507.37320171465;0.0;0.0;28591971.73311597;0.0;5438159.616572395;3029439.4792054263;22042356.402186565
2023-01-01 03:00:00;0.0;251507.37320171465;0.0;0.0;28419123.757815935;0.0;5489404.65984152;3029439.4792054263;22237051.708905593
2023-01-01 04:00:00;0.0;251507.37320171465;0.0;0.0;28255699.11959906;0.0;5540437.400503934;3029439.4792054263;22248656.064935207
2023-01-01 05:00:00;0.0;251507.37320171465;0.0;0.0;28104938.16846234;0.0;5521816.772653371;3029439.4792054263;22273583.940850664
2023-01-01 06:00:00;0.0;314296.61534167244;0.0;0.0;28125742.06750882;0.0;5692273.177138167;3029439.4792054263;22455122.493517905
2023-01-01 07:00:00;0.0;1391507.0382307568;0.0;0.0;26640706.91958353;0.0;5810461.623678811;3029439.4792054263;2960807.0984748816
2023-01-01 08:00:00;0.0;1391507.0382307568;0.0;0.0;26015157.635866314;0.0;5439745.272750189;3029439.4792054263;2963385.8442592397
2023-01-01 09:00:00;0.0;1297659.3347020245;0.0;0.0;24934607.389444415;0.0;5262168.77233196;3029439.4792054263;2965534.7990795374
2023-01-01 10:00:00;0.0;1255799.8399420516;0.0;0.0;24026078.17763322;0.0;5470567.353389625;3029439.4792054263;2966394.3810076565
2023-01-01 11:00:00;0.0;1302723.6917064188;0.0;0.0;22437699.418582134;0.0;5184924.05003449;3029439.4792054263;2965964.5900435955
2023-01-01 12:00:00;0.0;1302723.6917064188;0.0;0.0;21367164.50415864;0.0;4927931.009763234;3029439.4792054263;2895836.4068704583
2023-01-01 13:00:00;0.0;1302723.6917064188;0.0;0.0;20449431.38793618;0.0;4894143.648556624;3029439.4792054263;2897125.7797626383
2023-01-01 14:00:00;0.0;1302723.6917064188;0.0;0.0;19664882.387227587;0.0;4664005.214479501;3029439.4792054263;2895836.4068704583
2023-01-01 15:00:00;0.0;1255799.8399420516;0.0;0.0;19760374.20299996;0.0;4496752.891170191;3029439.4792054263;2896695.988798578
2023-01-01 16:00:00;0.0;1318589.0820820103;0.0;0.0;19879856.32541859;0.0;4425245.369456299;3029439.4792054263;2896266.1978345164
2023-01-01 17:00:00;0.0;429074.06625039113;0.0;0.0;20678095.67060908;0.0;4445017.949044677;3029439.4792054263;2825708.2236973187
2023-01-01 18:00:00;0.0;429074.06625039113;0.0;0.0;20690793.44212607;0.0;4597705.037149702;3029439.4792054263;2670386.919837743
2023-01-01 19:00:00;0.0;475997.91801475745;0.0;0.0;20584265.766667914;0.0;4703336.183093437;3029439.4792054263;2669527.337909624
2023-01-01 20:00:00;0.0;475997.91801475745;0.0;0.0;20609522.172616106;0.0;4724618.981156439;3029439.4792054263;2664799.6373049696
2023-01-01 21:00:00;0.0;475997.91801475745;0.0;0.0;20652838.266919482;0.0;4912020.120576699;3029439.4792054263;2656203.818023773
2023-01-01 22:00:00;0.0;361220.46710603876;0.0;0.0;20754497.08361821;0.0;5339876.056472809;3029439.4792054263;2600330.9926960194
2023-01-01 23:00:00;0.0;361220.46710603876;0.0;0.0;20838086.170397963;0.0;5277561.758407172;3029439.4792054263;2396610.0757317524
2023-01-02 00:00:00;0.0;118964.44763183592;0.0;0.0;21327087.591733053;0.0;5426217.170410144;3029439.4792054263;2397469.6576598743
2023-01-02 01:00:00;0.0;118964.44763183592;0.0;0.0;21459657.03768758;0.0;4749251.798695819;3029439.4792054263;2398329.23958799
2023-01-02 02:00:00;0.0;118964.44763183592;0.0;0.0;21675066.88240842;0.0;4758687.185973491;3029439.4792054263;2399188.8215161096
2023-01-02 03:00:00;0.0;118964.44763183592;0.0;0.0;21846723.420204677;0.0;4867230.691787598;3029439.4792054263;2593884.1282351282
