;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-390.5023150603686;0.0;19053522.173955597;0.0;0.0;735700276.4761411;0.0;0.0;18067354.011808775;0.0;0.0;583042527.4216722;0.0;0.0;20038313.044152457;0.0;0.0;378988799.6289453;0.0;0.0;19217194.88833842;0.0;0.0;64504576.08488854;-7147.221716188368;0.0;20161411.902927067;0.0;0.0;3953076.135832213;0.0;0.0;143188922.6595744;0.0;0.0;41131531.99675658;-247453768.7586064;0.0;207206700.22536072;0.0;0.0;45846799.05206571;-371883470.5462561;0.0;204150021.8983496;0.0;0.0;53942542.640877225;-363430547.18731475;0.0;61804236.841263115;0.0;0.0;35094460.39290255;-85880297.40757978;0.0;20161411.902927067;0.0;0.0;101229256.854674;0.0;0.0;19463392.605887637;0.0;0.0;433103262.12590015;0.0;0.0;19792115.32660324;0.0;0.0;702877540.0237254;0.0;0.0;772304597.4811482;0.0;0.0;3179414648.834381;-1068655231.1214732
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-114.34934080050672;0.0;3567934.5896801776;0.0;0.0;243943019.70240557;0.0;0.0;3383266.187437229;0.0;0.0;190383464.34007317;0.0;0.0;3752345.0822545895;0.0;0.0;117872008.67896575;0.0;0.0;3598583.7018864006;0.0;0.0;17733528.21897745;-4904.785622225016;0.0;3775396.3938263906;0.0;0.0;740247.233656059;0.0;0.0;39243406.20490567;0.0;0.0;7702230.296210786;-71124044.51163194;0.0;55706123.11925257;0.0;0.0;8585204.28247005;-103253071.47540213;0.0;54091610.61187422;0.0;0.0;10101201.341490738;-99530211.70813334;0.0;16841809.247087684;0.0;0.0;6574606.305087025;-27255491.76433618;0.0;3775396.3938263906;0.0;0.0;29473322.75712474;0.0;0.0;3644686.3250300037;0.0;0.0;142184510.6468563;0.0;0.0;3706242.4591109864;0.0;0.0;232224989.19473648;0.0;0.0;195086800.3161723;0.0;0.0;1007518332.9980541;-301167724.24512583
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-131.26634897517877;0.0;6692696.302673566;0.0;0.0;206102894.4317345;0.0;0.0;6346297.146005506;0.0;0.0;164458952.75560567;0.0;0.0;7038611.674944337;0.0;0.0;110364793.9876768;0.0;0.0;6750187.6032529315;0.0;0.0;19925840.727849733;0.0;0.0;7081851.096478183;0.0;0.0;1388548.4162416584;0.0;0.0;42286229.06608929;0.0;0.0;14447767.168963427;-71340203.90491682;0.0;61060314.435328424;0.0;0.0;16104041.011619277;-108104707.3572125;0.0;61692746.58578946;0.0;0.0;18947733.25337678;-108958515.06967391;0.0;18792097.449982293;0.0;0.0;12327199.305803807;-23813803.813557122;0.0;7081851.096478183;0.0;0.0;29844551.420580562;0.0;0.0;6836666.446320624;0.0;0.0;121157375.8622932;0.0;0.0;6952132.831876644;0.0;0.0;196903741.44767904;0.0;0.0;238611681.73521945;0.0;0.0;911973439.7894244;-312217230.14536035
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-219.70721207280232;0.0;11394571.592354191;0.0;0.0;337612046.7677583;0.0;0.0;10804813.771039547;0.0;0.0;271528232.6926227;0.0;0.0;11983505.752217472;0.0;0.0;184321477.05480424;0.0;0.0;11492452.731847618;0.0;0.0;33673803.998444036;0.0;0.0;12057122.522200383;0.0;0.0;2364056.819968828;0.0;0.0;70116318.0510735;0.0;0.0;24597876.537540503;-117810699.01364875;0.0;101214155.98013584;0.0;0.0;27417746.14213418;-178721767.645405;0.0;100821915.07405703;0.0;0.0;32259241.015042722;-177378334.1646825;0.0;30386538.279986195;0.0;0.0;20987528.593982194;-37443055.246145226;0.0;12057122.522200383;0.0;0.0;51524963.45037707;0.0;0.0;11639686.271813437;0.0;0.0;200779602.33491057;0.0;0.0;11836272.212251652;0.0;0.0;323449549.052172;0.0;0.0;395804474.76117736;0.0;0.0;1510516124.4597573;-511353856.0698815
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-15.798370954879873;0.0;572094.2887627969;0.0;0.0;21720853.5709939;0.0;0.0;542483.9538245625;0.0;0.0;17038572.85845129;0.0;0.0;601663.2696221719;0.0;0.0;10882875.932901582;0.0;0.0;577008.6675464063;0.0;0.0;1849653.3978866877;-419.81425352664013;0.0;605359.3922295938;0.0;0.0;118693.65987593734;0.0;0.0;4721476.315147904;0.0;0.0;1235000.7693366816;-8262481.441704696;0.0;6853513.365979546;0.0;0.0;1376579.703021765;-12428097.526312934;0.0;6659054.4626482325;0.0;0.0;1619659.62431726;-12003756.644342547;0.0;2091469.9738275746;0.0;0.0;1053733.8017973183;-3013854.685450815;0.0;605359.3922295938;0.0;0.0;2822300.036220939;0.0;0.0;584400.91276125;0.0;0.0;12645279.35756716;0.0;0.0;594271.0244073281;0.0;0.0;20687078.938896358;0.0;0.0;25008155.018986955;0.0;0.0;93050281.65126687;-35708610.112064525
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-13.290578998190012;0.0;474135.7647965625;0.0;0.0;26877315.832698807;0.0;0.0;449595.54637875;0.0;0.0;20841589.985908303;0.0;0.0;498641.7101090625;0.0;0.0;12686596.681709943;0.0;0.0;478208.664646875;0.0;0.0;1942062.780545941;-521.944545201977;0.0;501704.953273125;0.0;0.0;98369.98954050787;0.0;0.0;4945246.287732727;0.0;0.0;1023534.1372837513;-8802950.888003428;0.0;6833564.939920555;0.0;0.0;1140870.8024461113;-12452003.01637301;0.0;6753859.748253586;0.0;0.0;1342328.6506609083;-12277427.287893558;0.0;2226243.118821857;0.0;0.0;873305.1383673429;-3493223.386901891;0.0;501704.953273125;0.0;0.0;3042755.044055664;0.0;0.0;484335.150975;0.0;0.0;15394255.15503633;0.0;0.0;492515.2237809375;0.0;0.0;25525632.476723157;0.0;0.0;24639756.06196216;0.0;0.0;110788616.67497677;-37026126.52371709
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-43.73454078544706;0.0;1656497.7869430159;0.0;0.0;89705705.65303113;0.0;0.0;1570761.1255931878;0.0;0.0;69548926.43812625;0.0;0.0;1742114.7076461408;0.0;0.0;43034127.858329356;0.0;0.0;1670727.3601779689;0.0;0.0;6703034.05529047;-1568.735384110682;0.0;1752816.8227340316;0.0;0.0;343677.2377746608;0.0;0.0;15789557.613566825;0.0;0.0;3575942.0806372697;-27901207.230320122;0.0;22395487.922025155;0.0;0.0;3985883.5796763063;-40704042.81941177;0.0;22279899.154217158;0.0;0.0;4689720.970794229;-40363982.356292024;0.0;7233798.156316071;0.0;0.0;3051085.287047911;-11159642.470216734;0.0;1752816.8227340316;0.0;0.0;10205364.836659623;0.0;0.0;1692131.5903537502;0.0;0.0;51304170.58572584;0.0;0.0;1720710.4774703598;0.0;0.0;85060350.32559471;0.0;0.0;81257319.5397777;0.0;0.0;371207988.9086878;-120130443.61162476
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-8.754344829178148;0.0;217670.98901773832;0.0;0.0;13506164.895293577;0.0;0.0;206404.82010510942;0.0;0.0;10475133.138882797;0.0;0.0;228921.4234903946;0.0;0.0;6367032.4412629;0.0;0.0;219540.8166165235;0.0;0.0;968823.7268781117;-280.225617836761;0.0;230327.72779947662;0.0;0.0;45160.67865526721;0.0;0.0;2530683.989143804;0.0;0.0;469894.2887203748;-4641064.42471546;0.0;3709195.0758903767;0.0;0.0;523762.37851717154;-6957798.790062028;0.0;3564387.74918479;0.0;0.0;616249.6623758689;-6637995.872294477;0.0;1104459.1133917016;0.0;0.0;400930.460410176;-1787300.4477040682;0.0;230327.72779947662;0.0;0.0;1534420.5697400218;0.0;0.0;222353.42523468751;0.0;0.0;7767338.464318767;0.0;0.0;226108.81487223052;0.0;0.0;12832462.362120442;0.0;0.0;12690381.672546308;0.0;0.0;55507373.06717547;-20024439.760393873
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-16.136822481529546;0.0;130692.960546875;0.0;0.0;26424170.156091806;0.0;0.0;118045.2546875;0.0;0.0;20274463.988531217;0.0;0.0;130692.960546875;0.0;0.0;11917767.918567255;0.0;0.0;126477.05859375;0.0;0.0;1743203.77348675;0.0;0.0;130692.960546875;0.0;0.0;385327.92332801875;0.0;0.0;2996856.1805667593;0.0;0.0;372897.9903174375;-7416049.702926751;0.0;4586159.954989811;0.0;0.0;385327.92332801875;-11159902.909593116;0.0;4216107.859806421;0.0;0.0;385327.92332801875;-10361777.523991467;0.0;1283893.4048683452;0.0;0.0;372897.9903174375;-2929718.6807133495;0.0;130692.960546875;0.0;0.0;2819829.9898100537;0.0;0.0;126477.05859375;0.0;0.0;15151258.093197137;0.0;0.0;130692.960546875;0.0;0.0;24975566.438021194;0.0;0.0;14107481.574840713;0.0;0.0;105208040.10832435;-31867448.817224685
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.624114019084674;0.0;352376.73864561337;0.0;0.0;16935538.339469828;0.0;0.0;334138.4980956094;0.0;0.0;13329157.546149762;0.0;0.0;370589.50749326963;0.0;0.0;8538386.561815377;0.0;0.0;355403.7095527735;0.0;0.0;1356106.248599154;-20.78848866294358;0.0;372866.1035992267;0.0;0.0;73108.37668987119;0.0;0.0;3015722.076073015;0.0;0.0;760688.4946619716;-5279769.064679328;0.0;4378414.590742959;0.0;0.0;847892.8662014301;-7919096.7072758265;0.0;4326206.177622137;0.0;0.0;997615.9303515316;-7782144.098686053;0.0;1302250.9059019566;0.0;0.0;649038.6073962996;-1899290.9691764999;0.0;372866.1035992267;0.0;0.0;2123045.4449006836;0.0;0.0;359956.90176468756;0.0;0.0;9826584.33942047;0.0;0.0;366036.3152813556;0.0;0.0;16106829.601711763;0.0;0.0;15906827.62837183;0.0;0.0;71543992.35736813;-22880321.628306374
