;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System ID;Heating System;Cooling System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-393.2592583868578;0.0;19053522.173955597;0.0;0.0;742001361.374612;0.0;0.0;18067354.011808775;0.0;0.0;486761332.03426385;0.0;0.0;20038313.044152457;0.0;0.0;425669751.83094645;0.0;0.0;19217194.88833842;0.0;0.0;127817657.14237522;0.0;0.0;20161411.902927067;0.0;0.0;4268267.721496836;0.0;0.0;78809400.60078183;0.0;0.0;56087470.870094;-125780347.23992829;0.0;153840113.38323992;0.0;0.0;61678915.31570088;-266457919.0846526;0.0;173940117.27449948;0.0;0.0;75201559.70325905;-310289193.68860847;0.0;68929189.11757469;0.0;0.0;64542388.249738015;-106577713.45249109;0.0;20161411.902927067;0.0;0.0;134957831.14201078;0.0;0.0;19463392.605887637;0.0;0.0;416622369.76146907;0.0;0.0;19792115.32660324;0.0;0.0;649540102.6551166;0.0;0.0;631473536.2326963;0.0;0.0;3245149007.8010826;-809105173.4656804
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-110.61337654877816;0.0;3567934.5896801776;0.0;0.0;252029943.09626344;0.0;0.0;3383266.187437229;0.0;0.0;162757205.97755125;0.0;0.0;3752345.0822545895;0.0;0.0;137627002.8856111;0.0;0.0;3598583.7018864006;0.0;0.0;34718077.51295804;0.0;0.0;3775396.3938263906;0.0;0.0;799269.5472525526;0.0;0.0;20157076.97646689;0.0;0.0;10503741.484042969;-36178697.29399308;0.0;40056207.39115053;0.0;0.0;11549903.130753117;-73436363.62530339;0.0;42729148.657479845;0.0;0.0;14082133.666074494;-81479144.49746428;0.0;15690544.79750257;0.0;0.0;12099292.480035592;-28133384.67057998;0.0;3775396.3938263906;0.0;0.0;46063128.30324155;0.0;0.0;3644686.3250300037;0.0;0.0;141441081.83992663;0.0;0.0;3706242.4591109864;0.0;0.0;220730426.6636491;0.0;0.0;147836828.955652;0.0;0.0;1044401206.5873598;-219227590.08734074
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-133.25188003341592;0.0;6692696.302673566;0.0;0.0;203434456.9406485;0.0;0.0;6346297.146005506;0.0;0.0;135081425.01738697;0.0;0.0;7038611.674944337;0.0;0.0;121666160.25166644;0.0;0.0;6750187.6032529315;0.0;0.0;41303524.29046638;0.0;0.0;7081851.096478183;0.0;0.0;1499261.8864731574;0.0;0.0;23490781.38643463;0.0;0.0;19701155.801613122;-36000867.98703576;0.0;45474608.75514192;0.0;0.0;21665193.695817795;-77016879.52586718;0.0;53795070.41180499;0.0;0.0;26415126.609465078;-94672569.9106161;0.0;22361399.599710517;0.0;0.0;22657919.501104876;-32855070.357028145;0.0;7081851.096478183;0.0;0.0;37773621.095700435;0.0;0.0;6836666.446320624;0.0;0.0;113078047.40933944;0.0;0.0;6952132.831876644;0.0;0.0;178709786.44663286;0.0;0.0;199902154.35112205;0.0;0.0;922985678.9463149;-240545387.78054717
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-220.64366889805643;0.0;11394571.592354191;0.0;0.0;338297810.40413636;0.0;0.0;10804813.771039547;0.0;0.0;227221613.6788851;0.0;0.0;11983505.752217472;0.0;0.0;204542086.53566468;0.0;0.0;11492452.731847618;0.0;0.0;69754013.97759677;0.0;0.0;12057122.522200383;0.0;0.0;2552550.7401676034;0.0;0.0;39400683.48993844;0.0;0.0;33541971.737747636;-60282021.72070102;0.0;75404960.29198113;0.0;0.0;36885821.418581314;-127220777.52936365;0.0;88971646.97981355;0.0;0.0;44972763.989367396;-156180229.5982513;0.0;36448190.03568951;0.0;0.0;38576046.76641573;-53270737.31689796;0.0;12057122.522200383;0.0;0.0;65171860.77977192;0.0;0.0;11639686.271813437;0.0;0.0;192679393.92057475;0.0;0.0;11836272.212251652;0.0;0.0;293593397.72421104;0.0;0.0;333491028.17334735;0.0;0.0;1547789331.67312;-396953766.16521394
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-13.864302683875732;0.0;572094.2887627969;0.0;0.0;22043746.238505036;0.0;0.0;542483.9538245625;0.0;0.0;14422383.54242685;0.0;0.0;601663.2696221719;0.0;0.0;12565029.182704717;0.0;0.0;577008.6675464063;0.0;0.0;3838317.759964107;0.0;0.0;605359.3922295938;0.0;0.0;128157.49046739093;0.0;0.0;2349822.95777465;0.0;0.0;1684062.4774243014;-3724902.461423534;0.0;4608328.995408084;0.0;0.0;1851949.202202079;-7985422.83112983;0.0;5275939.960381136;0.0;0.0;2257975.3191825408;-9423870.62222775;0.0;2102527.13224589;0.0;0.0;1936932.043025956;-3248101.1133563546;0.0;605359.3922295938;0.0;0.0;3998749.6322974395;0.0;0.0;584400.91276125;0.0;0.0;12236652.893260503;0.0;0.0;594271.0244073281;0.0;0.0;19243942.982363895;0.0;0.0;19019259.947193462;0.0;0.0;96207898.76382482;-24382297.02813747
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-12.933675737260817;0.0;474135.7647965625;0.0;0.0;27161910.097018596;0.0;0.0;449595.54637875;0.0;0.0;17312339.596682243;0.0;0.0;498641.7101090625;0.0;0.0;14581273.733782873;0.0;0.0;478208.664646875;0.0;0.0;3715708.2074495973;0.0;0.0;501704.953273125;0.0;0.0;106213.34795802989;0.0;0.0;2553101.414561922;0.0;0.0;1395703.9361912427;-4265436.45126257;0.0;5149132.074105343;0.0;0.0;1534843.7636903874;-9180484.955953257;0.0;5547519.980872781;0.0;0.0;1871346.866908272;-10029911.680547087;0.0;2137828.5013741036;0.0;0.0;1606163.2530832682;-3460466.327021998;0.0;501704.953273125;0.0;0.0;4686395.407958113;0.0;0.0;484335.150975;0.0;0.0;14761479.760203337;0.0;0.0;492515.2237809375;0.0;0.0;24046405.120347373;0.0;0.0;19268423.93814759;0.0;0.0;112779783.09127334;-26936299.414784912
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-42.906264977441076;0.0;1656497.7869430159;0.0;0.0;89868262.5703714;0.0;0.0;1570761.1255931878;0.0;0.0;57605945.05600161;0.0;0.0;1742114.7076461408;0.0;0.0;49554952.406399086;0.0;0.0;1670727.3601779689;0.0;0.0;13545746.341198537;0.0;0.0;1752816.8227340316;0.0;0.0;371079.7389683871;0.0;0.0;7826518.519153724;0.0;0.0;4876199.293931034;-13011867.328400277;0.0;15889212.857112285;0.0;0.0;5362314.945693479;-28092899.116555177;0.0;17808707.211486857;0.0;0.0;6537962.697174649;-32258910.342498656;0.0;6914471.555912964;0.0;0.0;5611061.416091056;-11211707.743002119;0.0;1752816.8227340316;0.0;0.0;15590642.734276589;0.0;0.0;1692131.5903537502;0.0;0.0;48497119.71874044;0.0;0.0;1720710.4774703598;0.0;0.0;79882476.5837252;0.0;0.0;61997486.837318316;0.0;0.0;377303763.50257146;-84575384.53045622
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-10.24454629747443;0.0;217670.98901773832;0.0;0.0;13591380.15321996;0.0;0.0;206404.82010510942;0.0;0.0;8586884.850165952;0.0;0.0;228921.4234903946;0.0;0.0;7252195.298818199;0.0;0.0;219540.8166165235;0.0;0.0;1796484.9091695077;0.0;0.0;230327.72779947662;0.0;0.0;48761.48608369473;0.0;0.0;1359821.7283300406;0.0;0.0;640753.7222952405;-2417606.8583585527;0.0;2713923.9142553625;0.0;0.0;704631.4259240554;-5020545.373482884;0.0;2846311.276283259;0.0;0.0;859116.6361178132;-5438167.835444839;0.0;1105132.6962408666;0.0;0.0;737329.1152899134;-1931895.7558656265;0.0;230327.72779947662;0.0;0.0;2336088.0754159405;0.0;0.0;222353.42523468751;0.0;0.0;7367344.985141475;0.0;0.0;226108.81487223052;0.0;0.0;12095074.920614457;0.0;0.0;9806845.360045169;0.0;0.0;56016045.57825621;-14808215.823151901
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-15.520621697989483;0.0;130692.960546875;0.0;0.0;27761527.797688995;0.0;0.0;118045.2546875;0.0;0.0;17609955.171302438;0.0;0.0;130692.960546875;0.0;0.0;14598020.002089458;0.0;0.0;126477.05859375;0.0;0.0;3147853.0062066554;0.0;0.0;130692.960546875;0.0;0.0;416051.36881234054;0.0;0.0;1186215.3378566387;0.0;0.0;402630.35691516823;-3561250.397920521;0.0;2600255.6122119767;0.0;0.0;416051.36881234054;-7175053.144485352;0.0;2462506.960962282;0.0;0.0;416051.36881234054;-8044699.406180737;0.0;712019.6616836964;0.0;0.0;402630.35691516823;-2696504.460559653;0.0;130692.960546875;0.0;0.0;5432233.287347126;0.0;0.0;126477.05859375;0.0;0.0;15401340.648524504;0.0;0.0;130692.960546875;0.0;0.0;24526650.132743027;0.0;0.0;7985461.747323969;0.0;0.0;110530994.86616957;-21477507.409146264
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.19180678862895;0.0;352376.73864561337;0.0;0.0;17272609.947052218;0.0;0.0;334138.4980956094;0.0;0.0;11352217.468050903;0.0;0.0;370589.50749326963;0.0;0.0;9874874.93968004;0.0;0.0;355403.7095527735;0.0;0.0;2836560.7661602865;0.0;0.0;372866.1035992267;0.0;0.0;78937.54475607032;0.0;0.0;1465075.2699836849;0.0;0.0;1037312.4540723941;-2388004.7218960826;0.0;2962721.0517243175;0.0;0.0;1140692.7718516167;-5143785.246675573;0.0;3380532.9903877457;0.0;0.0;1390781.1955901713;-6026091.560773633;0.0;1253425.9201068936;0.0;0.0;1193660.4451070083;-1967345.4223538283;0.0;372866.1035992267;0.0;0.0;3247182.8002583315;0.0;0.0;359956.90176468756;0.0;0.0;9653760.097800791;0.0;0.0;366036.3152813556;0.0;0.0;15079471.362551704;0.0;0.0;11945989.110234404;0.0;0.0;74158061.79293153;-15525226.951699117
