;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Cooling System 2;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
2432709;11.62692307692308;3;university;Before 1930;2432709;Bd2432709;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;57136.16614089355;14742.378296360224;191;35758.2033194225;5156.639632083673;1472.5728112761844;-393.2592583868578;0.0;19053522.173955597;0.0;0.0;742001361.374612;0.0;0.0;18067354.011808775;0.0;0.0;486761332.03426385;0.0;0.0;20038313.044152457;0.0;0.0;425669751.83094645;0.0;0.0;19217194.88833842;0.0;0.0;127817657.14237522;0.0;0.0;20161411.902927067;0.0;0.0;4268267.721496836;0.0;0.0;18601700.594465382;0.0;0.0;56087470.870094;-131557468.21430905;0.0;19915214.18537785;0.0;0.0;61678915.31570088;-278223016.2840547;0.0;20161411.902927067;0.0;0.0;75201559.70325905;-320792398.2430928;0.0;19094096.029563814;0.0;0.0;64542395.91876581;-110925624.64884189;0.0;20161411.902927067;0.0;0.0;134957831.14813438;0.0;0.0;19463392.605887637;0.0;0.0;416622369.76146907;0.0;0.0;19792115.32660324;0.0;0.0;649540102.6551166;0.0;0.0;233727138.56893438;0.0;0.0;3245149015.476234;-841498507.3902985
2559057;6.875;1;university;Before 1930;2559057;Bd2559057;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;18979.373300135947;2760.6361163834104;36;15741.314369276222;1525.9127531438342;608.6333147289916;-110.61337654877816;0.0;3567934.5896801776;0.0;0.0;252029943.09626344;0.0;0.0;3383266.187437229;0.0;0.0;162757205.97755125;0.0;0.0;3752345.0822545895;0.0;0.0;137627002.8856111;0.0;0.0;3598583.7018864006;0.0;0.0;34718077.51295804;0.0;0.0;3775396.3938263906;0.0;0.0;799269.5472525526;0.0;0.0;3483327.1440273933;0.0;0.0;10503751.16397225;-38326519.40669429;0.0;3729293.770682788;0.0;0.0;11549903.130753117;-77111293.58509675;0.0;3775396.3938263906;0.0;0.0;14082133.666074494;-84783364.24620435;0.0;3575532.390314599;0.0;0.0;12099326.28484267;-30059675.498654626;0.0;3775396.3938263906;0.0;0.0;46063128.30324327;0.0;0.0;3644686.3250300037;0.0;0.0;141441081.83992663;0.0;0.0;3706242.4591109864;0.0;0.0;220730426.6636491;0.0;0.0;43767400.83190334;0.0;0.0;1044401250.072098;-230280852.73665002
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-133.25188003341592;0.0;6692696.302673566;0.0;0.0;203434456.9406485;0.0;0.0;6346297.146005506;0.0;0.0;135081425.01738697;0.0;0.0;7038611.674944337;0.0;0.0;121666160.25166644;0.0;0.0;6750187.6032529315;0.0;0.0;41303524.29046638;0.0;0.0;7081851.096478183;0.0;0.0;1499261.8864731574;0.0;0.0;6533990.4955837;0.0;0.0;19701155.801613122;-37076897.15960063;0.0;6995372.25341049;0.0;0.0;21665193.695817795;-79273161.30091858;0.0;7081851.096478183;0.0;0.0;26415126.609465078;-96629399.74846965;0.0;6706948.181719085;0.0;0.0;22657919.501104876;-33674499.39744143;0.0;7081851.096478183;0.0;0.0;37773627.938251786;0.0;0.0;6836666.446320624;0.0;0.0;113078047.40933944;0.0;0.0;6952132.831876644;0.0;0.0;178709786.44663286;0.0;0.0;82098456.22522144;0.0;0.0;922985685.7888663;-246653957.6064303
46970558;11.8125;3;university;1945-1960;46970558;Bd46970558;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;34714.49482727051;8816.379638671875;114;12323.448361325882;2779.3607040909365;577.627531694223;-220.64366889805643;0.0;11394571.592354191;0.0;0.0;338297810.40413636;0.0;0.0;10804813.771039547;0.0;0.0;227221613.6788851;0.0;0.0;11983505.752217472;0.0;0.0;204542086.53566468;0.0;0.0;11492452.731847618;0.0;0.0;69754013.97759677;0.0;0.0;12057122.522200383;0.0;0.0;2552550.7401676034;0.0;0.0;11124368.881933067;0.0;0.0;33541971.737747636;-61951109.700437866;0.0;11909888.982234562;0.0;0.0;36885821.418581314;-130715089.30186185;0.0;12057122.522200383;0.0;0.0;44972763.989367396;-159077633.2045804;0.0;11418835.961864706;0.0;0.0;38576055.18708333;-54379540.49208154;0.0;12057122.522200383;0.0;0.0;65171871.34068878;0.0;0.0;11639686.271813437;0.0;0.0;192679393.92057475;0.0;0.0;11836272.212251652;0.0;0.0;293593397.72421104;0.0;0.0;139775763.7241574;0.0;0.0;1547789350.6547046;-406123372.6989616
131986150;7.7;2;services;1961-1970;131986150;Bd131986150;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1704.200244140625;442.6494140625;6;993.8213575070004;271.115396316321;45.370945109609515;-13.864302683875732;0.0;572094.2887627969;0.0;0.0;22043746.238505036;0.0;0.0;542483.9538245625;0.0;0.0;14422383.54242685;0.0;0.0;601663.2696221719;0.0;0.0;12565029.182704717;0.0;0.0;577008.6675464063;0.0;0.0;3838317.759964107;0.0;0.0;605359.3922295938;0.0;0.0;128157.49046739093;0.0;0.0;558528.0545092969;0.0;0.0;1684062.4774243014;-3885849.10137382;0.0;597967.14701475;0.0;0.0;1851949.202202079;-8291915.315844883;0.0;605359.3922295938;0.0;0.0;2257975.3191825408;-9712267.659744002;0.0;573312.5449389843;0.0;0.0;1936932.2622032713;-3364139.0335156354;0.0;605359.3922295938;0.0;0.0;3998749.634182054;0.0;0.0;584400.91276125;0.0;0.0;12236652.893260503;0.0;0.0;594271.0244073281;0.0;0.0;19243942.982363895;0.0;0.0;7017808.040076329;0.0;0.0;96207898.98488675;-25254171.11047834
131986153;7.2;2;services;Before 1930;131986153;Bd131986153;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1320.6796875;366.85546875;5;1634.6359064204464;287.06862082257373;65.75709635414815;-12.933675737260817;0.0;474135.7647965625;0.0;0.0;27161910.097018596;0.0;0.0;449595.54637875;0.0;0.0;17312339.596682243;0.0;0.0;498641.7101090625;0.0;0.0;14581273.733782873;0.0;0.0;478208.664646875;0.0;0.0;3715708.2074495973;0.0;0.0;501704.953273125;0.0;0.0;106213.34795802989;0.0;0.0;462892.4488265625;0.0;0.0;1395703.9361912427;-4534536.599458022;0.0;495578.466945;0.0;0.0;1534843.7636903874;-9664498.85546385;0.0;501704.953273125;0.0;0.0;1871346.866908272;-10469144.378963938;0.0;475145.4214828125;0.0;0.0;1606163.5722593192;-3694937.089530575;0.0;501704.953273125;0.0;0.0;4686395.408175368;0.0;0.0;484335.150975;0.0;0.0;14761479.760203337;0.0;0.0;492515.2237809375;0.0;0.0;24046405.120347373;0.0;0.0;5816163.257760937;0.0;0.0;112779783.41066664;-28363116.923416387
131986154;8.05;2;services;Before 1930;131986154;Bd131986154;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;5158.803979492188;1281.6904296875;17;5357.606641499351;891.4904248455233;215.99266460493888;-42.906264977441076;0.0;1656497.7869430159;0.0;0.0;89868262.5703714;0.0;0.0;1570761.1255931878;0.0;0.0;57605945.05600161;0.0;0.0;1742114.7076461408;0.0;0.0;49554952.406399086;0.0;0.0;1670727.3601779689;0.0;0.0;13545746.341198537;0.0;0.0;1752816.8227340316;0.0;0.0;371079.7389683871;0.0;0.0;1617216.7847385157;0.0;0.0;4876199.293931034;-13746887.884837283;0.0;1731412.5925582503;0.0;0.0;5362314.945693479;-29651657.920520157;0.0;1752816.8227340316;0.0;0.0;6537962.697174649;-33630175.79580623;0.0;1660025.2450900783;0.0;0.0;5611061.927742617;-11906732.109227672;0.0;1752816.8227340316;0.0;0.0;15590642.734605169;0.0;0.0;1692131.5903537502;0.0;0.0;48497119.71874044;0.0;0.0;1720710.4774703598;0.0;0.0;79882476.5837252;0.0;0.0;20320048.138773363;0.0;0.0;377303764.01455164;-88935453.71039134
131986160;6.55;1;services;1971-1980;131986160;Bd131986160;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1103.1488891601562;168.419677734375;2;764.4053539597063;160.15834247115905;32.806192356903516;-10.24454629747443;0.0;217670.98901773832;0.0;0.0;13591380.15321996;0.0;0.0;206404.82010510942;0.0;0.0;8586884.850165952;0.0;0.0;228921.4234903946;0.0;0.0;7252195.298818199;0.0;0.0;219540.8166165235;0.0;0.0;1796484.9091695077;0.0;0.0;230327.72779947662;0.0;0.0;48761.48608369473;0.0;0.0;212509.29507111333;0.0;0.0;640753.7222952405;-2584134.342848389;0.0;227515.11918131256;0.0;0.0;704631.4259240554;-5308264.159176557;0.0;230327.72779947662;0.0;0.0;859116.6361178132;-5703893.707125213;0.0;218134.51230744144;0.0;0.0;737329.686500912;-2068537.203370783;0.0;230327.72779947662;0.0;0.0;2336088.0755504076;0.0;0.0;222353.42523468751;0.0;0.0;7367344.985141475;0.0;0.0;226108.81487223052;0.0;0.0;12095074.920614457;0.0;0.0;2670142.399294981;0.0;0.0;56016046.149601676;-15664829.412520943
131986174;6.4;1;residential;Before 1930;131986174;Bd131986174;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1615.6750000000002;252.44921875;3;1681.9373945852863;216.00892616817242;75.14721375782075;-15.520621697989483;0.0;130692.960546875;0.0;0.0;27761527.797688995;0.0;0.0;118045.2546875;0.0;0.0;17609955.171302438;0.0;0.0;130692.960546875;0.0;0.0;14598020.002089458;0.0;0.0;126477.05859375;0.0;0.0;3147853.0062066554;0.0;0.0;130692.960546875;0.0;0.0;416051.36881234054;0.0;0.0;126477.05859375;0.0;0.0;402630.35691516823;-3859348.269132022;0.0;130692.960546875;0.0;0.0;416051.36881234054;-7706050.13644787;0.0;130692.960546875;0.0;0.0;416051.36881234054;-8519035.214203104;0.0;126477.05859375;0.0;0.0;402630.35691516823;-2970608.6411169227;0.0;130692.960546875;0.0;0.0;5432233.287347438;0.0;0.0;126477.05859375;0.0;0.0;15401340.648524504;0.0;0.0;130692.960546875;0.0;0.0;24526650.132743027;0.0;0.0;1538804.2128906248;0.0;0.0;110530994.86616988;-23055042.260899916
131986182;3.6;1;university;1945-1960;131986182;Bd131986182;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;981.52646484375;272.646240234375;4;969.499158114051;142.53011453924097;38.59476752334137;-8.19180678862895;0.0;352376.73864561337;0.0;0.0;17272609.947052218;0.0;0.0;334138.4980956094;0.0;0.0;11352217.468050903;0.0;0.0;370589.50749326963;0.0;0.0;9874874.93968004;0.0;0.0;355403.7095527735;0.0;0.0;2836560.7661602865;0.0;0.0;372866.1035992267;0.0;0.0;78937.54475607032;0.0;0.0;344020.72902298835;0.0;0.0;1037312.4540723941;-2489760.669697608;0.0;368312.9113873126;0.0;0.0;1140692.7718516167;-5372275.326295619;0.0;372866.1035992267;0.0;0.0;1390781.1955901713;-6229390.834817343;0.0;353127.11344681645;0.0;0.0;1193661.143016813;-2041749.456950753;0.0;372866.1035992267;0.0;0.0;3247182.811803804;0.0;0.0;359956.90176468756;0.0;0.0;9653760.097800791;0.0;0.0;366036.3152813556;0.0;0.0;15079471.362551704;0.0;0.0;4322560.7354881065;0.0;0.0;74158062.50238681;-16133176.287761323
